stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,20.14,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,19.98,0,0,0,4.41,0,0,0,0,0,0,0
 10-12,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.64,0,0,0,3.47,0,0,0,0,0,0,0
 14-21,0,0,2.66,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,6.4,47.13,0,0,1.15,0,0,2.57,0,0,2.54,0
 24-34,0,0,0,0,0,2.96,0,0,0.72,0,0,0,0,0,0,0,1.78,9.66,1.67,0,0.68,0,0,0,9.21,0,0,0.77,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,3.08,0,29.13,1.11,0,0,0,0,0,19.09,0,0,0,0
 48-58,0,0,0.5,0,0,11.11,0,0,0.64,3.3,0,0,0,0,0.39,1.63,0.37,30.03,2.35,0,0.6,0,0,0,14.56,0,0,0.81,0.38
 60-70,0,0,0,0,0,16.59,1.17,0,1.04,4.59,3.36,0,0,4.31,0,6.9,0,15.64,3.21,0,0.72,0,0,0,8.27,0,0,0,0
 72-82,0,0,0,0.84,0.63,67.31,0,0,0,21.28,34.26,0,14.35,5.8,0,4.06,1.52,28.69,0,0,3.18,0,0,0,22.38,0,0,6.56,0
 84-94,0,0,0,0,1.39,14.43,0,0,0,33.56,98.77,0.71,0,21.36,0,6.79,1.08,15.11,0,7.07,0,0,0,9.78,34.31,0.63,0,4.3,0
 96-106,0,0,2.66,0,0,24.05,0,0,0,14.85,113.65,0,6.73,18.67,0,7.38,0.57,27.18,1.06,0,0,0,2.14,0,52.53,0.8,0,11.7,0
108-118,0,0,0,0,3.54,15.08,0,0,0,33.79,149.66,2.27,29.68,72.78,0,16.1,0,25.84,4.01,0,2.46,0,0,0,51.05,0,0,6.38,2.08
120,0,4.41,3.01,0,5.59,8.92,0,1.51,0,27.21,230.62,0,5.76,56.48,0,22.57,1.12,16.92,0,0,4.68,0,4.48,0,61.84,0,2.71,35.43,0
