stage,blastomeres,erythrocytes,eye,gut,liver,mesenchyme,muscle,neural,pronephros,vasculature
  5-6,6.15,0,0,0,0,0,0,0,0,0
 14-21,0,1.82,0,0,0,0,0,0,0,0.98
 24-34,0,0,0,0,0,0,0,0,0,1.86
 36-46,0,0,0,0,0,0,0,0,0,0.83
 48-58,0,0,0,0,0,0,0,0,0,0.85
 72-82,0,0,0,1.03,0,0.66,0,1.68,8.83,0
 84-94,0,0,0,2.53,0,0.72,0,0,21.14,1.14
 96-106,0,0,0,8.29,0,0.79,1.25,7.11,78.91,0
108-118,0,0,2.12,12.15,0,4.35,0,0,156.27,0
120,0,0,0,8.75,3.84,0,0,4.35,150.06,0
