stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.53,65.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0
  5-6,25.72,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.15,0,0,0,0,12.76,0,0,0,0,0,0,0
  7-9,0,0,3.77,0,0,10.35,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0,78.91,0,0,0,24.26,0,4.58,0,0,0,0,0,0
 10-12,0,8.03,9.59,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,0,0,0,13.25,0,0,0,0,0,0,0,0
 14-21,0,0,3.19,1.93,0.91,1.27,0,0,0,4.01,0,0,0,0,0,1.13,0,0,0,1,43.53,2.57,0,0,0,0,0,1.93,1.73,9.23,0,0,0
 24-34,0,0,0,0,0,2.54,0,0,0,0,1.22,0,0.69,0,0,0,3.73,0,0,1.98,36.85,0,0.76,0,0,0.71,0,0,0,4.77,0,0.71,0
 36-46,0,0,0,0,0,4.36,0,0,0,1.67,0,0,0,0,0,0,0.68,0,0,0,53.14,0,0,0,0,0,0,0,0,1.5,0,0,0
 48-58,0,0,0,0.6,0,11.03,0,0,0,0.69,0,0,0.55,0.97,2.56,0,3.16,0,0.49,0.57,40,0,0,0,0,0,0,0,0,7.31,0,1.27,0
 60-70,0,0,0,0,0,2.9,0,0,0,4.16,2.49,0,0,0,0,0,0.62,0,0,0,24.28,0,0,0,0,0,0,0,0,2.09,0,0,0
 72-82,0,0,0,0.59,0,3.02,2.53,0,0.56,4.66,0,0,0,0,0,0,0.92,0.73,0,0,25.28,0,0,0,0,2.57,0,0,0,0.85,0,0.57,0
 84-94,0,0,0,1.48,0,12.7,2.24,0.74,0,0.99,0,0,0,0,0,0,6.78,0,0,0.73,17.13,0,0,0,0,1.84,0,0,0,2.74,1.17,0,0
 96-106,0,0,0,0.9,0,10.03,0,0,0,8.03,0.83,0,0,0,0,0,7.03,0,0,0,18.42,0,0.68,0,0,0.66,0,0,0,7.65,0,0,0
108-118,0,0,0,0.57,0,15.55,0,0,0,7.8,0,0,0,0,0,0,2.4,0,0.94,0,33.16,0,0.59,0.69,0,0,0,0,0,0,0.96,2.18,4.06
120,0,0,0,0,0,10.1,0,0,0,1.85,0,0,0,0,0,0,11.64,0,0,1.67,54.4,0,0,0,0,1.36,0,0,0,0,0,0,0
