stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.94,141.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.1,0,0,0,0,0,0
  5-6,0,88.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.29,0,0,0,0,0,0
  7-9,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.72,0,0,8.56,0,41.11,0,0,0,0,0,0
 10-12,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,0,61.2,0,0,14.15,0,14.46,0,0,0,0,0,0
 14-21,0,0,12.88,0,1.17,0,0,0,0,0,0,3.75,0,0,0.83,0,1.46,14.33,0,1.28,0,0,106.24,0.93,0.91,0,0,0,0
 24-34,0,0,3.65,0.78,0.73,0.63,0,0,0.64,0.89,0,5.54,0,0,0,0,0.74,37.74,2.19,0,0,0,101.54,0,5.56,0,0,2.2,0
 36-46,0,0,1.49,0,6.39,0,0,0,0,0,0,1.45,2.27,0,0,0,0,40.85,7.09,0,0,0,120.65,0,6.52,0,0,0,0
 48-58,0,0,2.83,0,6.46,0,0,1.07,0,0,0,2.43,0,0,0.45,7.81,0,35.66,0.47,2.43,0,0,63.99,0,4.39,0,0,0,0
 60-70,0,0,10.14,0,3.64,1.07,0,4.14,0,0,0,0,0.8,0,0,5.59,0,31.7,6.27,0,0,0,29.58,0,1.59,0,0,0,22.44
 72-82,0,0,6.65,0,9.01,0,0.96,0,0,0,0,1.2,0,0,0.73,1.41,0.51,21.81,3.04,0.67,0,1.61,24.44,0,2.93,0.51,0.52,0,0
 84-94,0,0,24.37,0,9.15,1.57,0,0,0.62,0,0,2.97,0.69,0,6.22,6.05,0,32.81,0,2.75,0,0,65.59,0,0,3.59,0,0,0
 96-106,0,0,26.52,0,17.7,0,0,0,1.56,0,0,1.86,2.22,0,2.3,6.41,0,10.25,7.26,1.37,0,0,66.43,0,0,8.22,0,0,0
108-118,0,0,39.1,0,11.68,2.14,0,0,9.64,0,0.6,7.01,2.08,2.23,0,2.73,0,22.64,3.77,0.43,0,0,24.74,0,0,3.82,0,0,0
120,0,0,32.51,0,0,3.01,0,0,0,0,2.32,0,0,0,1.08,1.56,0,34.29,0,1.73,0,0,21.48,0,0,8.95,0,0,0
