stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0
 14-21,1.07,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,1.78,29.08,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,14.49,13.12,0,0
 36-46,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0.74,2.22,0,0,0,29.61,15.99,0,0
 48-58,0,0,0,0,0.88,0,1.26,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,45.6,24.86,0,0
 60-70,0,0,0,0,2.54,0,1.85,0,0,0,0,4.66,0,0,0.95,0,2.79,0,0,0,0,24.45,27.61,0,0
 72-82,0,0,0,0,52.76,0,4.83,5.49,0,0,0,0,0,3.06,1.01,0.54,9.48,0.55,0,0.51,0,114.35,12.62,0,0
 84-94,0,0,5.17,0,25.36,0,6.89,13.61,0,0,0,0,0,8.13,0,0,14.12,1.88,0,1.53,5.6,195.15,9.37,0,0
 96-106,0,0.58,1.71,0,103.48,1.45,32.51,53.74,0,0.59,0.94,0,0.94,0,2.71,0,14.19,0,0.65,6.59,0,355.42,18.14,1.64,2.2
108-118,0,1.27,7.7,0.88,54.67,0,4.97,87.56,0.56,0,0,0,0,4.98,3.77,0,59.27,0,0,0,0,171.52,4.51,0,0
120,0,0,0,0,146.34,0,39.37,62.01,0,0,0,0,0,3.84,0,0,26.71,0,0,0,0,222.21,7.07,0,0
