stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,15.44,0,0,0,0,0
 14-21,2.24,0,0,0,0,0,0,0,0,2.72,1.37,0,3.12,0,0
 24-34,0,1.32,0,0,0,0,0,0,0,1.93,32.8,0,3.22,0,0
 36-46,0,0,0,0,0,0,0,0,0,11.3,61.01,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.05,40.12,0,0,0,1.26
 60-70,0,0,1.38,0,0,0,0,0,0,11.67,23.46,0,0,0,0
 72-82,0,0,0.69,0,0,0,0,0,0,5,39.94,0,0,0,0
 84-94,0,0,2.52,0,0.57,0.93,0,0,0,2.67,27.98,0,0,0,0
 96-106,0,0,0.92,0,0,0,1.18,0,0,12.58,46.84,0,0,0,0
108-118,0,1.14,1.6,3.53,0,0,3.92,2.68,0.43,6,36.56,0,0,0.67,0
120,0,0,0,0,15.77,0,0,7.12,0,7.99,27.06,1.15,0,0,0
