stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord
  3-4,0,237.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,261.78,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0
  7-9,15.35,0,4.12,0,24.86,7.91,0,172.38,12.96,0,43.14,0,0,0,0,0
 10-12,0,0,0,0,16.85,0,0,49.82,0,0,6.8,0,5.55,0,0,0
 14-21,0,0,0.89,0,0,0,1.1,3.89,0,0,0,0,0,0.9,1.44,1.18
 24-34,0,0,0,1.05,0,0,0,4.51,0,0.99,0,8.35,0,0,0,1.3
 36-46,0,0,0,0,0.94,0,0.63,0,0,1.22,0,6.41,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.77,5.84,0,0,2.19,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0
 72-82,0,0,0,0.97,0,0,0,1.79,0,0,0,0.61,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,4.36
 96-106,0,0,0,0.98,0,0,0,0,0,1.74,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
