stage,epidermis,eye,glial,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord
 14-21,3.31,0,0.93,2.4,0,12.16,0,0,0.91,0.88,0.88
 24-34,0,0.6,0,0,0,9.43,0,0,0,0,6.37
 36-46,10.57,1.71,0,0.66,0,31.79,0,0,0,0,5.94
 48-58,0,1.35,0.38,1.12,0,8.54,0,0,0,0,2.34
 60-70,0,1.92,1.25,4.34,4.58,31.44,0,0,0,0,0.96
 72-82,0.55,3.09,0,1.74,0.71,21.87,0,0,0,0,1.29
 84-94,0,6.05,0,1.23,0,13.89,0,0,0,0,0
 96-106,0,7.7,1.2,0,1.19,2.51,0,0,0,0,0
108-118,0,5.03,0,0.72,0.44,17.94,0.5,1.81,0,0,2.34
120,0,17.9,0,0,0,36.42,0,2.1,0,0,0
