stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,387.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.88,140.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,6.91,0,12.37,0,0,0,0,0,0,0,0,0
  7-9,0,7.74,0,0,0,21.76,0,0,0,4.63,0,0,0,0,0,0,0,0,0,52.82,0,0,0,17.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.14,0,0,0,34.08,0,0,0,0,0,0,0,0,0,0,0,0,0,233.87,28.58,0,0,96.02,0,0,0,9.61,0,0,0,0,0,0,0
 14-21,0,0,5.61,39.74,0,6.22,0,0,3.43,0,0,0,0,0,0,39.95,0,0,20.8,102.97,0,0,0,0,0,1.97,2.12,0,0,5.2,30.38,0,109.67,0,0
 24-34,0,0,6.88,13.42,0,7.75,0,0,3.8,0,32.86,0,0,0.75,0,107.29,4.95,1.58,52.66,138.77,0,0,0,0,0,0.59,0,0,0,0,28.08,0,613.49,0,0
 36-46,0,0,0,5.93,0,5.3,4.2,0.87,0,0,23.5,0,0,0,6.95,113.7,1.15,11.59,34.56,78.97,0,0,0,0,0,0,0,0,0,0,19.59,0,427.68,0,0
 48-58,0,0,0.94,1.01,0,20.77,4.29,1.11,4.13,0,33.61,0,0,0,0.6,110.68,1.67,2.38,33.05,125.63,1.35,0.6,0,0,0.73,1,0,0,0,0,8.88,0.44,417.71,0,0
 60-70,0,0,1.02,5,0,37.12,2.24,0,4.44,0,10.73,2.8,0,0,0,189.47,0.85,4.54,35.55,67.34,0,0,0,0,3.51,0,0,0,0,0,12.88,4.5,338.26,1.89,6.81
 72-82,0,0,14.3,0.63,1.04,12.1,0,2.43,10.85,0,18.6,0,0,0,0,132.95,1.14,8.48,23.98,49.46,0,0,0,0,0,0,0,0,0,0,6.81,3.99,628.41,5.38,0
 84-94,0,0,0.95,0,2.96,31.33,5.52,0.77,6.43,0,13.85,0,0,0,0,149.4,0,28.24,15.93,38.4,0,0,0.88,0,1.83,0,0,0,0.63,0,19.09,10.88,591.16,7.07,0.7
 96-106,0,0,5.93,6.23,1.43,5.73,1.95,4.52,16.07,0,16.1,1.26,2.1,0.6,0,129.06,0.98,5.08,13.18,45.77,0,1.34,0,0,25.7,0,0,2.01,0,0,0,13.28,630.1,7.23,0.9
108-118,0,0,10.87,0,13.23,10.19,7.15,2.22,10.49,0,3.91,0,1.13,0,0,134.73,0.53,6.21,6.72,15.68,0,0,0,0,3.73,3.28,0,1.98,0,0,0,2.93,552.41,9.24,3.28
120,0,0,4.43,0,3,11.5,3.61,8.03,12.31,5.2,10.03,0,0,0,0,111.18,3.43,16.82,13.33,59.96,0,0,0,0,18.13,1.14,0,0,0,0,0,0,772.4,0,0
