stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord
  3-4,0,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.38,0,0,0,0
 10-12,0,0,0,3.45,0,0,0,0,0,0,6.96,0,0,0,0,0
 14-21,0,0,0,0,1.79,0,0,0,0,0,1.09,0,0,0,0,0.92
 24-34,0,0,0,0,0,0,0,0,0,0,3.73,0,0,1.33,1.03,3.09
 36-46,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,1.01
 48-58,0,0,0,0,0,1.13,0.95,0,1.24,0,1.72,0,0.71,0,0,1.59
 60-70,0,0,0,0,0,9.29,0.6,0,0,0,4.45,0,0,0,0,1.36
 72-82,0,0,0.83,0,1.19,0,0,0,0,0,1.72,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.35,0.66,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.07,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0
