stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  7-9,0,8.07,0,0,0,0,3.44,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,29.97,0,0,11.48,0,0,0,0,0
 14-21,2.86,0,0,0,2.39,0,7.1,0,0,1.53,0,2.28,0,8.95,0
 24-34,0,1.97,0.85,2,0,0,46.1,0,0,0,2.14,0,0,8.93,0
 36-46,0,6.71,1.65,0,0,0.57,52.66,0,0,0,0,0,0.63,21.65,0
 48-58,0,29.79,0,0,0.41,0,70.42,0,0.87,0,0,0,0,13.8,0
 60-70,0,124.84,0.91,0,0,0,66.1,6.52,0,0,0,0,0,15.25,0
 72-82,0,69.64,0,0,3.48,0,64.03,0,0,0,0,0,0,6.3,0.52
 84-94,0,54.65,4.14,0,0,1.08,24.19,0,0,0,0,0,0,7.77,0
 96-106,0,21.76,0,0,0,0,30.54,0,0,0,0,0,0,0,0
108-118,0.69,29.5,1.56,0,0,0,33.58,0,0,0,0,0,0,7.93,0
120,3.08,11.13,0,0,0,0,52.28,0,0,0,0,0,0,0,0
