stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature
  5-6,19.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,1.06,0,23.98,0,2.76,0
 24-34,0,0,0,0.61,0.71,0,0,0.77,0,0,0,0.74,1.37,2.33,0,14.86,1.32,0,0,0,71.93,1.04,1.21,1.49
 36-46,0,0,0,0,1.67,0,0,0,0,0,0,0,1.78,0,0,9.97,0.6,0,0,0,48.56,0,0.89,0
 48-58,0,0,0,0,1.77,0,0,4.66,0.5,0,0,0,0.5,0,0,6.09,0.48,0,0,0,33.17,0,0.39,0
 60-70,0,0,3.53,0,0.76,0,0,5.2,5.95,2.71,0,0,0,0,0,4.1,0,0,0,0,27.38,0,1.97,0
 72-82,0,0.56,0,0,11.87,0,0,15.1,5.19,0,0,0,5.15,0,0,4.98,0,0.66,0,0,9.95,0,0,0
 84-94,0,0,3.96,0,3.51,0,0,5.02,11.43,4.44,0,0,0,0.86,0,0,0.61,0,0,0,41.11,1.56,0,0
 96-106,0,0,5.82,0,0.6,0,0,15.57,6.57,0,0,1.04,3.62,0,0,11.94,0,2.13,0,0,29.43,0,6.43,0
108-118,0,0,11.47,0.49,2.57,0.42,0,18.43,17.43,0,0.55,3.51,16.24,0,0.53,11.24,4.95,1.36,0,0.76,23.33,0,0,0
120,0,0,7.16,0,0,0,1.11,60.51,23.53,1.47,0,0,37.82,0,0,20.69,0,1.12,0,0,30.06,0,5.78,1.35
