stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,568.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,0,0,0,0,0,0,0,0,0
  5-6,139.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,16.83,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.58,10.43,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,29.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.68,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.18,3.57,4.48,0,2.6,0,0,0.86,0.85,0,0,0,0,0,0,0,2.27,0,0,0,76.33,0,0,0.9,0,0,0,0.91,0,0,27.26,0,0,0,0,0.85
 24-34,0.83,0.62,0,0,0.73,0,17.69,0,0.71,3.12,0,0,0,1.26,0.63,1.72,0.6,1.39,2.19,0,0,0,200.78,0,5.08,0.86,0,0,0.61,0,0,0.62,51.67,0,0,3.24,0,0
 36-46,0,0,0,3.03,0,0,22.13,0,0,2.64,0,0,0,3.82,0,0,0,1.15,2.84,0,0,2.94,324.96,0,3.01,2.33,0,0,0,0,0,0,62.85,0,0,0,0,0
 48-58,0,0,0,2.17,1.34,0,155.51,2,0,15.22,0,2,0,0,1.75,0,0,0.62,13.55,0,0,1.14,502.59,0,5.55,5.5,0,0,0,0.65,0,0,80.09,0,0,0,0,0
 60-70,0,0,0,1.6,0.66,0,476.21,0,0,25.37,1.93,0,0,0,3.59,2.48,0,0,9.98,0,0,1.52,845.23,0,2.94,6.37,0,0,3.46,0,0,0,113.87,0,0,3.46,0.59,0
 72-82,0,0,0,10.27,4.48,0,907.62,0,0,68.85,0,0.66,0,0,4.88,11.47,0,0,45.8,0,0.75,8.44,1095.76,0,11.65,8.96,0,0,9.7,0,0,0,96.33,9.06,0,6.85,0.71,27.8
 84-94,0,0,0,5.1,3.95,0,904.68,1.13,0,73.21,0,0,0,1.53,0.65,14.5,0.68,0,35.51,0,0,12.01,822.01,0,2.59,19.56,0,0,2.94,0,2.3,0,51.07,5.82,1.08,0.57,0,0
 96-106,0,1.83,0,11.94,15.81,0,1094.04,0.62,0,78.74,1.11,0,1.27,0.73,0.74,20.04,1.54,7.92,30.1,0,0,7.36,764.96,1.43,16.95,15.03,0,0,0.71,0,1.46,0,26.72,14.24,0,0,0.93,0
108-118,0,0,0,5.95,3.65,0.43,868.56,0,1.28,77.64,0,0,3.58,0.58,2.58,16.62,3.95,0,32.58,0,0,11.01,1283.7,0,10.45,14.03,0,1.32,2.76,0,0.66,0,35.86,7.42,0,0.83,4.53,0
120,0,0,0,13.1,1.31,0,553.73,0,19.12,34.52,3.28,0,0,0,0,5.94,0,0,38.14,5.12,0,9.55,1674.23,0,1.09,6.91,0,0,1.02,0,0,0,7.54,2.83,0,0,0,8.45
