stage,epidermis,eye,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,22.97,0,6.68,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.94,2.4,0,0,0.86,0
 24-34,0.69,0,0,0,0,0,0,0,39.08,0,0,2.48,0.86,0
 36-46,0,0,1.04,0,0,0,0,0,197.42,3.74,0,9.34,0,0
 48-58,0,3.59,0,0.88,0,0,0,0,60.97,0.88,0,0,0,0
 60-70,3.3,0,0,0,0,0,0,0,49.86,4.49,0,1.55,0,0
 72-82,0.61,0,0,0,1.09,0,3.49,1.93,71.78,0,0,0,0,0
 84-94,1.83,0,0.79,0,0,0,0,0,52.83,1.27,0,7.4,0,0
 96-106,3.63,5.39,0,0,0.95,1.21,23.66,4.41,55.91,5.97,0,2.78,0,1.01
108-118,4.56,0,0.53,0,0,0.61,0,0,52.81,6.35,0,11.72,0,4.33
120,8.12,0,0,0,0,0,0,0,10.01,18.94,0,0,0,1.22
