stage,exocrine_pancreas,eye,immune,mesenchyme,neural
 48-58,0,0.65,0,0,0
 60-70,0,0,1.89,0,0
 72-82,0,0,186.13,0,5.14
 84-94,0,0,30.37,2.07,2.89
 96-106,0,0,54.15,2.28,4.76
108-118,0.56,1.16,306.14,0,0
120,0,10.1,370.98,0,0
