stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,54.91,2269.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.33,0,0,0,0
  5-6,117.26,1061.53,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,7.98,17.32,0,0,0,0
  7-9,6.38,0,0,0,0,0,8.47,0,0,5.88,0,0,0,0,84.41,0,0,27.34,0,33.48,0,0,0
 10-12,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,71.1,0,0,32.82,0,0,7.91,0,0
 14-21,0,0,0,0,1.69,0,1.25,0,0,0,0,0,0,1.12,14.17,0,0,0,0,0.9,0,1.68,5.2
 24-34,0,0,0,0,0,0,1.23,0,0,0,0,0,0.77,2.26,55.02,1.63,0,0,0,0,0,0,6.5
 36-46,0,0,1.72,0,0,0,13.31,0,0,0,0,0,0.83,0,109.19,0,0,0,0,0,0,0,11.97
 48-58,0,0,0,0,0,0,13.23,0,2.69,0,0,0,0,0,125.84,0,0,0,0,0,0,0,7.56
 60-70,0,0,0,0,0,0,2.69,0,2.59,0,0.83,0,1.64,0,151.95,2.27,0,0,0,0,0,0,3.97
 72-82,0,0,0,5.31,0,1.86,15.07,0.91,2.48,0,1.1,2.96,0.65,1.07,160.4,2.41,0,0,0,0,0,0,9.02
 84-94,0,0,1.01,0,0,0,14.38,0,1.14,0,0,0,3.8,0,118.5,3.54,0,0,0,0,0,0,8.9
 96-106,0,0,0,3.78,0,0,12.84,0,0,0,0,0,1.5,0,136.86,8.86,0,0,0,0,0,0,4.23
108-118,0,0,0,0,3.59,0.99,13.48,0,2.07,0,0,0,0.49,0,150.51,2.31,1.71,0,0,0,1.88,0,9.77
120,0,0,0,0,0,0,20.69,0,9.77,0,3.69,0,0,0,260.41,2.64,0,0,0,0,0,0,5.23
