stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.36,147.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.16,142.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.25,0,0,16.49,0,0,0,0,0,15.18,0,0,0,0,0,0,0,0,0,0,0,160.24,0,0,0,7.04,0,0,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.81,0,0,36.56,0,0,0,0,0,24.38,0,0,0,0,0,0,0,0,0,0,0,85.89,21.13,0,0,16.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.85,0.9,12.13,1.58,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,4.89,0,0,0,23.46,1.42,0,0,0,0,0,0,3.75,1.01,0,2.17,0,0,0,0,0
 24-34,0,0,2.31,0,6.16,0,4.12,2.41,2.19,0,0,0,0,0.95,0,0,0,0,4.01,0,4.06,0,0,9.14,65.25,2.31,0,2.19,0,0,0,0,0,5.97,0,3.05,0,0,0,0,0
 36-46,0,0,0.98,0,2,0,4.51,33.53,1.19,0,0,0,0,0,0,0,11.69,0.95,0,0,12.42,0,0,0,119.89,0,2.03,2.71,0,0,0,0,0,2.85,0.75,8.35,0,0,0.91,0,0
 48-58,0,0,0,0,3.07,0,20.21,68.65,0.44,0,4.86,0,0,0,0,3.82,0.54,0,0,0,16.56,0,0,17.9,151.26,0.63,3.99,0.89,0,0,1.77,0,0,5.52,22.57,11.51,0,0.85,0,0,3.16
 60-70,0,0,0.62,0,3.76,0,42.45,32.7,0.9,2.61,5.96,0,0,0.87,1.47,0,0,0,0,0,33.51,0,1.51,12.27,174.04,0,2.22,0,5.14,5.02,5.25,0,0,2.11,28.21,12.77,0,15.83,0,3.16,0
 72-82,0,0,0,0.75,2.3,1.44,46.2,53.38,0,10.08,13.07,0,0,0,0,0,0,0,0,0,44.27,0,8.53,2.65,199.91,0,1.74,0,0,0,0,0,0,2.23,28.58,1.52,1.89,17.57,0.99,21.32,3.94
 84-94,5.55,0,3.93,0,0,0,53.41,84.88,2.01,6.8,21.93,0,0,1.96,0.74,0,0,0,2.49,0,39.42,0,20.49,27.23,180.66,0,0,1.27,0,6.06,6.45,0,0,1.3,51.5,2.36,1.14,17.97,6.16,18,0
 96-106,0,0,0,0,10.2,15.5,97.91,119.48,0.6,0.69,18.51,0,0,1.02,0.86,1.81,0,0,7.87,0,61.33,3.22,23.69,8.33,137.55,0.79,5.38,0,0,6.36,5.84,0,0,0.67,54.31,5.69,4.2,19.74,3.84,25.77,1.19
108-118,0,0,2.99,0,11.76,4.29,58.06,135.08,1.25,6.62,31.03,3.54,0,3.4,0,0,1.92,0.55,1.15,0.59,59.36,0,10.85,29.76,234.3,2.51,0,3.31,0,6.7,8.41,0,0,5.27,47.6,7.12,0.68,9.54,3.07,16.92,2.26
120,0,0,8.41,0,5.11,0,41.13,104.92,0,13.63,14.76,2.68,0,4.12,0,0,1.18,0,0,0,60.94,0,60.86,27.28,211.98,0,4.78,2.62,0,13.63,0,0,1.12,7.73,21.97,17.15,0,7.01,9.03,13.43,0
