stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,1.57,0.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,31.38,2.37,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,2.92,0,0,0.63,0,100.64,0.68,0,0,0,9.62,0.72,0,1.12,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.46,0,0,0,0,176.09,0,0,0,0,3.25,3.73,0,3.16,0,0,1.95,0,0,1.28,0,0
 60-70,0,0,0,0,10.56,4.72,0.9,0.9,0,250.69,0,0,0,0,0.61,0.58,0,4.9,0,0,3.08,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.09,0,0,286.39,0,0,0,0,4.78,1.8,0.93,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.86,0,0,0,0,242.99,0.62,0.87,0,5.93,5.18,0,0,2.2,0,0,2.39,0,0,0,0,0
 96-106,0,0,10.42,0,3.26,0,0,0,0,299.49,0,0,1.95,0,5.06,0,0,2.19,0,0,2.31,0,0,3.16,0,1.03
108-118,0,1.87,2.06,0.72,4,0,0,0,0,286.8,0,0.99,0,0.56,12.22,5.21,0,13.4,5.11,4.04,0,0,0,0,0.57,3.65
120,0,6.24,1.22,0,0,0,0,0,0,276.97,0,0,0,0,5.44,0,0,10.97,2.49,0,0,0,0,0,0,0
