stage,blastomeres,epidermis,eye,glial,hatching_gland,immune,iridophores,lateral_line,mesenchyme,neural,otic,periderm,spinal_cord,taste
  3-4,25.98,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.11,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.44,0,0,3.04,0
 24-34,0,0,0,0.72,0,0,0,0,0.64,42.19,0,0,28.1,0
 36-46,0,0,0,8.35,0,0,0,0,0,27.81,0,0,26.61,0
 48-58,0,0,0.91,2.11,0,0,0,0,0,46.35,0,0.41,11.74,0
 60-70,0,0,2.34,0,0,0,0,0,0.61,45.86,0,0,0.94,0
 72-82,0,0,15.45,1.01,0.52,0,0,0,9.23,82.46,0.74,0,2.37,0
 84-94,0,1.72,1.09,1.88,0,0,0,1.2,6.63,43.05,0,0,0,0
 96-106,0,0,15.86,1.83,0,0,1.14,1.07,1.16,33.54,1.09,0,0,0.81
108-118,0,3.36,6.74,2.17,0,0.76,0,0,1.48,32.83,2.97,1.38,0,1.48
120,0,2.99,5.78,6.49,0,0,0,0,0,73.87,14.97,0,0,0
