stage,eye,gut,muscle,neural,otic,spinal_cord,taste
 24-34,0,0,0,2.88,0,4.4,0
 36-46,0,0,0,5.12,0,2.64,0
 48-58,0,0,4.8,1.39,0,0,0
 60-70,5.98,0,0,6.34,0,0,0
 72-82,3.38,0,0,2.34,0,0,0.62
 84-94,0,0,0,2.58,0,0,0
 96-106,1.56,0,0,0,0,0,0
108-118,1.53,0.61,0,1.53,0.48,0,0
120,2.12,0,0,0,0,0,0
