stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.12,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.61,8.61,5.75,0,0,0,0,0,0,0,0,0,0,40.3,0,1.04,0,0,0.75,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.75,2.97,1.02,0,37.52,0,0,1.17,14.56,0,0,0.65,0,0,1.05,896.12,0,11.03,0,3.92,1.12,72.93,0,0,0,0,0,5.32,0,0,4.49,0,1.42,4.86,0,4.43
 84-94,0,1.65,0,1.13,5.53,0,44.99,0.69,4.74,0,3.75,2.73,0,3.33,0,6.85,0,3019.58,0,13.58,0,2.23,1.47,105.87,1.16,1.1,0,0,0,3.59,0,0,3.05,0,0,1.81,0,0
 96-106,0,0,0,15.83,47.07,5.33,217.05,4.67,8.77,15.78,49.53,18.75,3.02,15.65,2.06,2.69,6.49,6972.78,0,79.3,0,6.86,9.35,829.37,1.5,3.22,8.52,0,7.24,77.52,0,0,3.45,0.62,8.94,6.4,5.78,0
108-118,0,0.97,0,26.93,21.39,15.08,195.57,0,1.37,0,62.43,16.12,0,8.52,2.08,8.19,8.28,16730.5,1.51,119.51,2.75,3.83,7.91,804.74,2.78,0.55,8.23,0,0.97,32.88,4.63,0.47,2.69,5.56,0,4.46,3.63,19.88
120,0,0,0,35.52,32.15,0,182.13,1.26,5.55,5.02,68.67,10.47,0,12.3,0,0,4.78,8971.82,0,140.71,4.3,1.45,5.68,819.68,1.08,3.29,2.3,0,0,19.22,1.02,0,30.59,5.08,0,5.02,14.1,3.28
