stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.88,1.68,0,0,4.71,0,0,0,0,2.34,0,0,17.87,3.64,0,0,1.2,9.87,0,0,1.03,0,0,0,2.64,0,0,0,28.17
 24-34,0,0,0,0,0,6.6,0,4.76,0,0,4.98,0.68,0,75.63,3.1,0,0,2.94,20.71,0,0,0,0,0,0.88,3.49,0,0,0,108.14
 36-46,0,0,0,0,0,5.98,0,0,0,0,39.95,0,0,74.69,1.75,0,0,0,9.13,0.74,0,0,0,0,0,5.45,0,0,0.74,145.3
 48-58,0,0,0,0,0,8.21,0,3.19,0,0,56.29,0,0,63.65,4.39,0,0.63,0,12.88,0,0,0,0,2.18,0,3.58,0,0,0,191.46
 60-70,0,0,0,0,0,19.33,0,0.84,0,0,125.82,0,0,36.73,0.89,0,0,0,4.52,0.62,0,0,0,0,0,0,0,0,0,159.28
 72-82,0,0,0,0,0,32.48,0,15.24,0,0,92.3,0,0,52.14,2.67,0,0,0,10.9,2.49,0,0,0,0,0,3.57,0,0,0,156.46
 84-94,0,0,0,0,0,38.84,0.69,16.69,0,0,207.53,0,0,77.7,3.8,0,0,0.74,31.17,0,1.4,0,0,0,0,0,1.68,2.01,0,214.42
 96-106,0,0,0,0,0,20.66,0,28.36,0,0,136.04,0,0,42.3,4.99,0,0,0,11.3,1.79,0,0,0,0,0,0,0,0,0,158.18
108-118,0,0,0,1.31,4.79,27.33,0,20.44,0,0.59,290.85,0,7.68,86.89,3.49,0.7,0,1.69,19.03,1.75,0,0,0.42,0,0,0,0,0,0,173.86
120,0,0,0,0,0,6.94,0,14.49,1.61,0,152.67,0,0,27.94,2.33,0,0,3.64,0,1.1,0,0,2.11,0,0,0,0,0,0,34.91
