stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,660.89,17092.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740.09,0,0,0,0,0,0,0,0,0,0
  5-6,999.31,15504.99,0,16.81,0,0,0,0,0,0,0,111.01,0,0,0,0,0,0,0,0,0,392.74,30.03,0,0,172.47,0,108.77,0,0,0,0,0,0,0,0,0,0
  7-9,171.22,450.38,0,422.63,0,0,1100.32,0,0,0,0,227.11,0,0,0,0,0,0,0,0,0,9873.63,114.25,0,0,3476.06,0,4.34,92.77,0,13.28,0,0,0,0,0,0,0
 10-12,4.89,328.08,0,293.33,0,28.16,659.29,0,0,0,0,15.59,0,0,0,0,0,5.32,0,0,0,6368.78,122.67,0,0,2040.43,0,4.52,40.19,0,212.23,5.05,8.83,0,0,0,0,0
 14-21,0.89,1.36,0,5.25,86.88,28.52,70.19,0,0,29.03,2.3,0,1.07,0,0.86,0,0,0,77.89,0,83.48,1115.35,7.11,2.9,7.04,54.97,0,38.15,0,85.16,4.8,62.95,303.27,0,0,4.95,0,0
 24-34,0,0,0,0,18.33,6.66,204.76,1.55,1.3,8.32,1.19,0,2.37,0.71,2.31,0,1.59,0,101.87,0,44.97,1096.71,0.7,6.96,8.35,0,0,44.7,0,0,3.46,4.74,170.02,0,0,21.46,0,0
 36-46,0,0,0,0,9.75,0.88,227.37,0,0,14.44,0.68,0,0.73,0.67,0,1.88,1.09,0.85,58.06,2.77,39.52,465.57,13.52,1.29,4.99,0,0,27.02,0,0.86,6.47,0,95.61,0,0,12.35,0,0
 48-58,0,0,0,0,7.78,0,185.62,0,1.39,15.62,0.37,0,0.56,0,5.67,0.39,2.34,1.77,60.09,3.01,23.66,280.11,0.91,0,0.8,0,0,11.62,0,0,0,0,26.39,0,0,8.28,0,0.82
 60-70,0,0,0,0,21.41,0,86.05,0,0.86,40.16,1.25,0,0,0,6.34,0,1.64,0,42.72,4.71,7.34,116.89,0,0,0,0,0,8.43,0,0,0,0,6.62,0,0,1.34,0,0
 72-82,0,0,0.69,0,9.64,0,36.05,0.64,1.62,16.94,2.31,0,1.7,0.89,0,6.5,0,0,32.86,2.51,8.35,79.46,1.43,0.56,0.52,0,0,2.87,0,0,0,0,1.93,0.92,0,11.64,0,0
 84-94,0,0,0,0,13.25,1.21,40.46,1.82,0.6,19.65,0.68,0,0,1.58,0.57,1.67,0,9.96,34.16,2.6,10,57.29,1.25,0.7,0.72,3.85,0.83,8.65,0,0,0,0,3.9,0,0,6.35,0,0
 96-106,0,0,0,0,2.25,6.14,11.61,0,0,10.55,3.19,0,0,2.01,0.56,0,0,7.08,14.04,0,3.7,27.72,0,0,2.05,0,0,3.71,0,0,1.37,0,1.07,0,2.38,3.12,0.64,0
108-118,0,0,0,0,10.25,5.47,18.47,0,1.42,12.13,2.68,0,0,0,0,0.55,0.69,0.43,12.74,1.51,6.13,69.32,0,0.5,0.77,0,0,4.41,0,0,0,0,5.87,0,0,6.6,1.55,0
120,0,0,0,0,9.09,4.5,49.86,1.28,2.48,25.1,0,0,0,2.39,3.6,6.1,0,0,26.5,0,1.11,71.83,0,0,0,0,0,1.3,0,0,0,0,3.3,0,0,1.46,0,0
