stage,blastomeres,endoderm,epidermis,eye,glial,heart,iridophores,liver,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,xanthophores
  5-6,6.28,0,0,0,0,0,0,0,0,19.38,0,0,0,0,0,0,0
  7-9,0,7.33,0,9.11,0,0,0,0,0,62.27,28.01,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.88,9.71,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.64,0,2.51,0.81,0,4.64,0,0
 24-34,0,0,0,0,0,0,0,0,0,5.1,0,0,0,1,4.37,0,0
 36-46,0,0,0,3.08,0,0,0,0,1.92,6.48,0,0,0,0,8.84,0,0
 48-58,0,0,0,0.63,0,0.87,0,0,0,14.86,0,0,0,0,3.86,0,0
 60-70,0,0,0,7.91,0,0,0,0,0,8.16,0,0,0,0,3.53,0,0
 72-82,0,0,0,19.24,0,0,0,0,0,7.8,0,0,0,0,4.11,0,0
 84-94,0,0,0,8.41,0,0,0,0,0,11.68,0,0,0,0,0.75,0,1.04
 96-106,0,0,0.6,26.3,0,0,0,0,0,14.84,0,0,0,0,0,0,0
108-118,0,0,0.7,14.36,0.47,0,0.67,0.42,0,3.21,0,0,0,0,0,0.42,0
120,0,0,0,9.01,0,0,0,0,0,14.1,0,0,0,0,0,0,0
