stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,0
  7-9,5.51,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0
 10-12,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2,0.62,0,0,0,0.66,22.95,0,0,0,0,1.15
 36-46,0,0,0,1.74,0,0,5.84,0,0,1.92,0,0,0,0,1.42
 48-58,0,0,0,1.08,0,0,5.13,0,0,2.35,0,0,0,0,0
 60-70,0,0,0,0.82,0,0,7.4,0,0,3.83,0,0,0,0,0
 72-82,0,0,2.44,0.71,0,1.24,8.63,0,0,3.91,0,0,0,0,3.08
 84-94,0,0.96,0,4.5,0,0,0.6,0,0,13.15,0,0,0,0,0
 96-106,0,0,1.34,1.51,0,0,4.34,3.95,0,2.85,0,0,2.84,0,0
108-118,0,0,0,0.59,0,2.51,8.74,0,0,1.65,0.81,0,0,0,0
120,0,0,0,0,0,0,1.66,0,0,11.13,0,5.02,0,0,0
