stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,10,1.31,0,0,0,0,0,0.86,0,0.92,0,0,0,0,0
 24-34,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,160.48,0,0,216.49,25.16,20.12,0,0,0,0,0,1.62,3.76,0,0,7.18,0,0
 36-46,0,0,0,0.66,0,2.33,0,0,0,0,0,0,0,0,0,290.52,0,0,304.93,19.41,45.61,0,0,6.31,0,0,0,8.2,0,0,1.1,0,0
 48-58,0,0,0,0.94,0,24.72,0,2.14,0.69,0,0,0,0,1.21,0,618.74,0,0.47,275.04,59.35,101.91,0,0,0,0,0,0,2.99,0,0,2.44,0,4.14
 60-70,0.81,0,0,0.58,0,21.99,0,2.2,8.58,0,0,0,0,0,0,911.95,0,0,167.76,47.32,120.58,0,0,0,0,0,0,4.68,0,1.82,0,0,0
 72-82,0,0,0,0.7,2.6,39.34,0,4.86,5.76,0.89,0,0,3.11,0,0,1472.56,0,0,139.12,55.01,127.71,0.5,1.8,0,0,0,0,9.37,3.4,11.78,2.4,0,2.08
 84-94,0,0,1,2.74,0.72,59.19,0,4.28,0,0,0,3.22,0,0,0,1175.82,2.35,0,140.75,35.6,196.67,3.27,0,0,0,0,0,0.63,0,18.8,3.07,0,0
 96-106,0,0,0,4.61,0,101.34,1.31,7.19,42.29,0,1.02,0,0,1.2,0.97,1570.56,2.84,0.62,82.24,48.76,264.32,1.72,9.02,0,0,0,0,3.3,0,13.18,4.12,0.81,0
108-118,0.66,1.13,0.65,2.89,0,48.39,0.58,5.57,16.04,0.59,1.35,0.52,0,1.02,4.8,1760.29,0,0,82.59,55.52,281.02,4.17,0.59,0,4.29,0,0,14.08,0,14.02,0,0,0
120,0,0,0,6.88,0,87.05,0,3.03,2.7,0,0,0,0,0,11.28,1427.48,0,28.61,37.46,51.38,297.1,0,1.11,0,12.14,0,0,0,0,26.42,0,0,0
