stage,erythrocytes,eye,neural,pronephros,spinal_cord
 14-21,2.53,0,0,0,0.85
 24-34,0,0,3.58,0,0
 36-46,0,0,4.63,0.6,0.89
 48-58,0,0.46,1.53,0,0
 60-70,0,0,0.95,0,0
 72-82,0,3.87,0,0,0
