stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0
 24-34,0,0,1.5,0,0,2.48,0,0,0,2.87,0,0,0,0,0,0,0,1.54,0,0.81,4.84,190.76,0,0,0,0,0.79,0,0,0
 36-46,0,0,1.22,0,0,1.98,0,0,0,1.07,0,0,0,0,0,0,0,2.28,0,1.45,4.73,335.87,0,0,0,0,0,0,0,0
 48-58,0.39,0,1.1,0,0,1.96,0,0,0,1.02,0,0,0,0,0,0,0,75.61,0,0.61,10.66,333.01,0,0,2.13,0,1.14,0,0,0
 60-70,1.45,0,1.88,0,0,7.68,0,0,0,0,0,0,1.12,0,0,0,0,658.04,0,6.02,10.06,179.75,0,0.65,2.45,0,6.95,0,1.73,4.39
 72-82,0,0,9.49,0,0,30.01,0.53,0.68,0.56,6.8,0,0.49,0,0,0,0,0,2021.59,0,0.54,45.86,154.89,2.29,5.13,3.59,0,0,0,0,2.8
 84-94,0,0,7.65,0.76,0,22.22,0,0,0,0,0,0,0,0,0.82,0,0,1986.97,0,0,31.63,236.59,0,18.76,9.26,0,9.39,0.77,0,0
 96-106,0,0,11.52,0,0.98,16.66,0,0,0,1.85,0,0,0,3.86,0,0,1.59,1025.84,0.85,0,14.69,124.74,1.51,14.95,3.9,0,0,0,0.61,0
108-118,0,0,3.36,0,0.56,15.48,0,0,0,11.58,0,0,0,1.91,0,0.86,4.86,1052.99,0.74,0.42,10.58,159.38,0,18.48,5.31,1.53,0,0,0,0
120,2.37,0,10.86,12.69,0,2.74,0,1.39,0,0,1.45,0,0,0,0,0,2.65,1342.53,0,0,9.73,193.88,0,29.97,0,0,0,0,0,0
