stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,13.64,0,0,11.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,4.28,1.01,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.58,0,14.98,0,1.89,0,5.39,0,0,1.98,569.59,0,0,0,0,0
 24-34,0,0,4.13,0,50.39,0,0.72,0,17.83,0.69,0,0,0.83,1.77,3.93,0,8.49,0,0,6.18,4325.91,0,129.61,0,0,0,2.25,0,0,0,1241.29,0,0,10.35,0,1.93
 36-46,0,0.95,4.07,0,586.05,0.68,1.39,2.39,11.7,0,1.19,7.77,0,0,0,27.66,32.66,0,0,4.1,9598.29,0.59,144.82,2.09,0,0,34.75,0,2.51,0,2806.28,0,0,3.45,0,10.45
 48-58,0,0,6.94,3.5,1535.47,1.44,0,1.37,89.26,1.26,0,1.34,0.51,0.44,7.94,15.61,35.39,0,0.41,7.57,5625.79,0,90.42,0.44,0,0,10.34,0.61,0.38,0,3129.71,0,0,7.11,0,22.94
 60-70,0,1.56,24.65,1.51,1864.62,0,0.61,2.56,44.12,0.63,0,1.43,3.16,4.49,0,7.32,19.11,0,0,3.59,3451.95,0,35.54,0,0,0,5.74,0,0,0,1990.37,0,4.5,16.39,0,2.47
 72-82,0,4.02,20.01,0.52,1431.47,0,2.19,2.31,28.69,1.04,1.32,7.96,0,1.35,4.11,5.12,28,0,0.55,2.11,2304.58,3.83,37.01,1.73,0,0,4.41,0,0.53,0,974.02,2.11,0,0,7.77,16.19
 84-94,0,3.54,11.22,4.19,1140.43,0.71,0,2.76,55.92,2.47,1.31,0,0.75,0,0,2.6,38.79,0,0,9.26,1597.56,0,49.66,2.2,0,0,6.35,0.67,0,0,641.75,0,0.57,2.24,0,2.28
 96-106,0,2.46,13.51,4.06,592.82,0,0,7.73,30.45,1.03,0,0,3.09,2.18,0,0.75,18.93,1.38,0,1.52,1160.19,0,31.48,0.62,0,2.01,6.82,0,0.68,0,295.42,0,0,1.3,0,2.71
108-118,0,0,23.84,0,859.47,0,0.66,0,40.71,0.47,0,0.61,0,0,0,6.73,12.43,0,0.66,1.74,1463,0.69,26.78,2.19,0,0,3.34,0,0,0,187.95,5.31,0,0,0,9.17
120,0,3.73,18.18,2.83,1124.03,0,0,0,49.21,0,0,0,0,0,1.83,1.6,15.52,0,0,11.2,1772.44,0,35.14,0,0,19.8,0,0,0,0,220.85,0,0,3.24,0,0
