stage,endocrine_pancreas,eye,fin_mesenchyme,mesenchyme,neural,olfactory,spinal_cord
 14-21,1.24,0,0,0,0,0,0
 24-34,0,0,0,0,3.89,1.96,1.04
 36-46,0.85,0,0,0,10.67,0,0
 48-58,0,0.62,0,0,6.84,0,0.6
 60-70,0,3.23,0,2.2,20.69,0,0.82
 72-82,0,7.52,0,0,30,0,0
 84-94,0,0,0,0,30.79,0,0
 96-106,0,0,1.65,0,4.3,0.74,0
108-118,0,3.02,0,0,13.62,0,0
120,0,0,0,0,71.13,4.78,0
