stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,168.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.8,0,0,0,0,0,0
  5-6,8.66,181.55,0,0,0,0,0,0,0,0,0,0,0,0,30.05,0,0,0,0,142.67,0,0,0,0,0,0
  7-9,0,0,3.52,0,0,0,0,0,0,3.94,0,0,0,0,110.63,0,0,0,45.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,44.86,0,0,0,5.1,0,0,0,0,0,0,0
 14-21,0,0,0,1.82,0.91,1.12,0,0,0,0,0,0,2.05,0,7.85,0,0,1.28,0,0,0,0,1.01,4.23,0,0
 24-34,0,0,0.83,0,0,1.4,0,1.11,1.69,0,0,0,0,0,19.82,0,0,0,0,0,6.29,0,0,11.4,0,0
 36-46,0,0,0,0,0,3.63,1.1,4.68,0,0,0,0.57,0,0,35.35,0,2.12,0,0,1.05,2,4.82,0,5.68,0,1.47
 48-58,0,0,0,1.06,0,6.05,0,2.52,0,0,0,0,2.81,0.42,30.73,0,0,0,0,0,3.29,0,0,1.04,0,0
 60-70,0,0,0,0,0,14.71,0,0.67,0,0,0,0,0.7,2.29,27.32,0,0,0,0,0,2.01,0,0,0.82,0,2.67
 72-82,0,0,0,0,0,7.63,0,2.73,2.15,0,4.62,0,1.34,0,27.85,0,1.05,0,0,0,3.29,0,0,1.42,0.63,0
 84-94,0,0,0,0,0,3.39,0,0,2.2,0,0,0,4.5,0,5.75,0.83,0,0,0,0,3.26,0,0,0,0,0
 96-106,0,0,0,0,0,2.12,0,8.21,11.54,0,0,0,2.23,0,14.03,0,0,0,0,4.5,6.29,0,0,0,0,0
108-118,0,0,0,0,0,0.62,0,1.97,23.31,0,0,0,4.55,0,16.01,0,0,0,0,0,3.66,0,0,0,0,1.68
120,0,0,0,0,2.63,30.45,0,10.03,38.49,0,0,0,0,0,49.07,0,0,0,0,0,12.77,0,0,0,0,0
