stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.86,1101.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0
  5-6,43.73,887.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.33,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.91,8.87,12.47,0,0,19.32,0,0,0,0,36.88,0,0,0,0,0,0,0,0,0,0,135.58,7.56,0,0,61.84,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,6.19,0,0,14.17,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,217.69,7.05,0,0,103.33,0,0,5.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.51,7.12,2.43,0,0,1.48,0,0,0,0,6.71,0,0,0,1.14,1.77,0,0.84,47.92,0,0,0,1.45,0,0,0,3.69,0,2.97,5.6,0,31,0,0
 24-34,0,0,0,4.35,2.05,5.59,0,0,1.64,0,0,7.67,0,0,0,0,0,9.52,18.86,0,3.94,146.75,0,0,0,0,0,0,0,0,0,0,9.31,0,121.72,0,2.56
 36-46,0,0,0,0.66,0,7.79,0,0,12,0,0,1.92,5.57,0,0,0,0,11.16,36.57,0.55,11.35,406.1,0,1.21,0,0,0,0.89,0,0,0,0,18.26,0,92.91,0,0
 48-58,0,0,0,1.9,0,20.62,3.88,0.46,12.27,0,0,0,5.95,0,0,0,0,15.05,18.3,0.94,0,650.91,0,0,0,0,0,0,0,0,0,0,51.45,0,38.72,0,0
 60-70,0,0,0,1.79,0,48.13,0,0,13.7,0,0,0,4.15,0,5.65,0,0,9.6,39.78,0.62,4.39,1322.59,1.13,0,0,0,0,0,0,0,0,0,55.91,3.46,54.46,0,0
 72-82,0,0,0,1.51,0,47.7,0,6.22,10.91,0,0,4.73,6.3,0.52,7.56,0,0,8,78.41,5.42,2.46,1086.27,0,0,0,0,0,3.68,0,0,0,0,43.26,1.64,115.93,3.55,2.89
 84-94,0,0,0,3.43,13.55,68.88,0,0,16.27,0,0,0.82,17.34,0,2.96,0,0,17.13,59.32,4.66,3.7,793.11,0,0,0,0,0,1.57,0,0,0,0,25.1,1.6,84.13,3.59,0
 96-106,0,0,0,1.63,7.49,67.58,0,0,16.9,0,0,6.69,36.86,0,2.37,0,0.87,9.81,53.48,4.01,0.61,591.9,0,0,2.02,0,0,9.73,0,0,0.9,0,14.29,0.93,69.91,2.17,6.58
108-118,0,0,0,6.89,0.83,33.93,0,0,19.28,1.14,0,7.62,26.78,0,17.29,0,0,6.28,80.32,9.46,3.12,734.33,0,0,0,0,10.45,0,0,0,0,0,19.61,0,80.87,2.45,0.6
120,0,0,0,0,4.16,25.69,0,0,19.71,0,0,1.85,43.08,0,6.89,2.07,0,0,60.94,0,16.31,660.96,0,0,1.02,0,3.42,0,0,0,0,0,30.26,8.97,76.95,2.27,0
