stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,gut,heart,liver,mesenchyme,neural,slow_muscle,somites,vasculature
  3-4,136.19,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.4,0,0,0,0,0,0,0,0,8.85,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.24
 24-34,0,0,0,0,0,0,0,0,0,0,0,5.62,16.97
 36-46,0,0,0,0,0,0,0.6,0,0.82,0,0,0,13.5
 48-58,0,0,0,0,0,0,0.85,0,0,0.67,0,0,20.15
 60-70,0,0,0,0,1.4,0,0,0,0,1.25,0,0,24.86
 72-82,0,0,0,0,0,0.56,0.89,0,0,0,2.89,0,61.72
 84-94,0,1.53,0,0,0,1.51,5.55,0,4.11,0,0,0,37.03
 96-106,0,3.61,0,7.51,0,3.58,0.58,0,2.95,1.62,0,0,107.44
108-118,0,0.71,0.42,0,2.52,6.66,0,3.09,1.27,0,0,0,72.43
120,0,0,0,0,0,14.45,0,0,0,0,0,0,108.21
