stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,9.36,252.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.14,0,0,0,69.78,0,0,7.2,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,40.2,5.47,0,9.82,0,0,0,0,0,0,0
 14-21,0,0,1.3,20.66,25.06,26.85,2.12,0.82,1.61,0,12.54,32.64,148.98,3.58,6.47,5.06,11.1,23.28,1.62,74.7,11.27,0,0
 24-34,0,0.83,0,1.74,0.69,10.74,0,0,0,0,12.98,2.26,52.61,0,0,0,0.61,0,0,2.76,8.56,2.4,6.29
 36-46,0,0,0,0,1.13,1.23,1.16,0,0,0.61,0.7,0,10.18,0,0,0,0,0,0,0,1.32,1.79,0
 48-58,0,0,0,0,0,1.92,0.58,0,0,3.29,0,0,21.97,0,0,0,1.83,0,0,0,0.74,0,0
 60-70,0,0,0,0,0,2.78,1.3,0,0,0,1.59,0,2.34,0,0,0,2.68,0,0,0,0,0,0
 72-82,0,0,0,0.54,0.91,1.25,1.34,0.68,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.19,0,0,0,0.91,0,4.76,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
