stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,82.59,762.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.67,0,0,0,0,0,0,0,0,0,0
  5-6,23.01,517.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.14,0,0,28.1,0,0,34.87,0,0,0,0,0,27.37,0,0,0,0,0,0,0,0,0,0,0,183.51,10.28,0,0,61.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.94,0,23.2,0,0,20.25,0,0,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,0,135.16,12.02,0,0,87.97,0,0,0,27.88,0,7.48,0,0,0,0,0,0
 14-21,0,0,0,1.97,9.43,3.09,5.86,0,0.95,0,2.74,1.33,1.11,0,0,0,0,0,0,0,5.83,0,0,2.57,99.87,2.09,0,0,0,0,4.19,9.03,0,0.83,5.39,19.79,0,0,0.96,0,0
 24-34,0,0,0,0,4.54,0.66,8.78,0,0.61,0,4.2,2.67,0.81,1,2.01,2.77,0,1.64,0,1.23,19.45,0,0,15.96,143.26,0,1.95,2.11,0,0,2.56,0,2.81,0,0.65,21.99,0,0,7.1,0,0
 36-46,0,0,0,0,0.65,0,13.9,0,0,1.23,5.7,0,0,0,0.64,0.66,0,0,0,0,23.47,0,0,5.84,70.21,1.18,1.84,0.64,0,0,0.89,0,1.28,0,0,18.31,0,0,2.62,0,1.72
 48-58,0,0,0,0,9.28,0,18,0,6.54,1.06,17.48,3.23,0,0,1.78,8.24,0.63,0.41,0,0,36.24,0.41,0,2.47,42.26,7.6,0,1.96,0,0,3.53,0,0.51,0,0,24.29,0,0,4.28,0,0
 60-70,0,0,0,0,1.89,0,17.17,0,0,0,25.12,4.07,0,0,5.35,0,0,0,2.65,0,43.74,2.4,0.69,2.63,28.95,0,4.7,0.82,0,0,3.33,0,8.36,0,0,5.75,0,0,0.87,0,5.74
 72-82,0,0,1.38,0,2.28,4.2,20.81,0,0,1.75,46.45,0,0,2.36,3.93,2.22,3.49,1.52,1.61,0.49,52.21,0.92,2.65,7.38,22.34,0,0,3.99,0,0,0,0,8.56,3.93,0,5.03,0,1.89,14.54,0.65,13.56
 84-94,0,0,0,1.04,3.4,5.48,13.76,0,0,4.67,14.9,0.71,0,0,3.13,0.58,0,0,1.36,3.29,41.75,0.71,0,1.4,9.31,0,1.72,0,0,0.6,4.54,0,2.77,0,0,1.33,0,0,3.29,0,0
 96-106,0,0,0,0,6.54,3.74,14.48,0,0.58,0,17.73,0.83,0,1,7.71,1.66,0,1.92,0,10.19,35.91,0,0,2.24,14.94,0,1.54,4.52,0,0,5.93,0,3.83,0,0,5.55,0.88,4.16,1.92,2.89,2.11
108-118,0,0,0.76,0,0,0,30.09,0.42,0.95,4.82,22.57,3.67,0,1.02,8.44,0,0,0,0.6,0.78,32.6,0.53,0,3.83,27.72,3.56,0.93,5.86,0,0.92,9.48,0,1.8,0,0,0,0,0,5.75,0,5.21
120,0,0,0,0,2.6,2.91,13.27,0,1.26,1.69,44.67,3.79,0,0,9.2,0,0,0,1.37,0,65.74,1.05,0,7.75,44.81,0,11.25,2.73,0,0,4.57,0,1.74,2.35,0,0,0,0,4.62,6.37,2.08
