stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,71.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.24,13.48,0,0,3.7,0,3.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.67,0,0,0,36.06,0,0,0,6.52,0,0,0,0,0,0,0
 14-21,0,4.53,9.36,2.25,0,0,0,0,1.07,0,4.23,0,3.12,143.5,0,207.61,35.94,0,0,0,0,0,0,9.61,0,0,63.24,12.47,0,0,0,0.98
 24-34,0,5.5,0,7.22,0.92,14.95,0,0,2.63,1.55,35.53,10.46,3.78,1160.26,0,585.86,73.27,0,0,0,0,0,1.45,0,0,0,41.32,15.15,0,0,0,0
 36-46,0,1.53,0,10.87,0,41.98,0,0,0,0,50.66,0,0,1522.97,0,403.42,62.57,0.58,0,0,0,0,0,1.39,0,1.79,0,14.77,0,0,0,0
 48-58,0,1.32,0,20.09,0,17.53,4.75,0,1.05,0,89.4,0,0.54,1172.89,0,150.05,100.28,0,0,0,0,0,0,0,0,0,0,10.94,0,0,0,0
 60-70,0,0,0,15.83,0,16.89,8.01,0,0,0,85.11,0,0,769.9,1.68,114.06,61.31,0,0,0,0,0,0,0,0,0,0,5.81,0,3.97,0,0
 72-82,0,3.42,0,13.92,2.07,26.95,6.05,1.3,0,0,71.55,0,0,577.24,0,84.13,28.65,0,0,2.07,0,3.01,1.24,0,0,0,0,0,0,6.86,0.67,0
 84-94,0,3.54,0,11.56,5.31,17.82,4.86,0,0,0,150.94,0,0,580.08,0,93.45,6.88,0,0,0,0,6.32,0,0,0,0,0,1.2,1.06,9.34,0,0
 96-106,0,0,2.33,11.4,0,9.61,4.94,0,0,0,203.01,0,0,370.41,4.54,64.64,20.76,1.7,0.74,0,0,0,2.88,0,0,0,0,0.98,0,1.05,0.81,4.01
108-118,0,0,0,3.57,0,12.79,5.2,0,0.56,0,394.09,0,0,435.84,3.09,55.33,30.93,0,0,0,0,4.47,6.16,0,0,0,0,1.5,0,2.97,0,0
120,0,0,0,0,0,8.81,0,0,0,0,243.85,0,0,335.08,0,27.53,27.13,0,1.99,0,0,0,2.84,0,0,0,0,0,0,0,0,0
