stage,blastomeres,exocrine_pancreas,eye,glial,gut,hatching_gland,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,35.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.33,0,10.48,3.19,0,0
 14-21,0,0,0,0,0,0,0.99,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.19,0,0,0
 36-46,0,0,0,0,0,0,0,1.09,0,0,0
 48-58,0,0,0,0,0,0,0,0.47,0,0,0
 60-70,0,0,0,0,0,0,0,2.82,0,0,0
 72-82,0,0,0,0,0,0,0,5.34,0,1.56,0
 84-94,0,0,0.66,0,0,0,1.42,1.41,0,0,1.14
 96-106,0,0,0,0,0,0,0.82,0,0,0,0
108-118,0,0.75,3.17,0.48,0.61,0,0,6.21,0,0,0
