stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96,0,0,8.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83,6.26,0,0,0,1.35,0,12.35,0,0,0,0,0
 24-34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,77.91,1.61,0,0,0,0,0,25.73,0,0,0,0,0
 36-46,0,0,0,0,0,63.23,2.28,0,0,0,0,0,0,0,0,0,0,0,0,321.68,0.64,0,0,0,13.67,0,51.89,0,0,0,0,0
 48-58,0,0,0,6.12,0,171.1,13.67,0,0,0,0,0,0,0,4.24,6.03,0,0,0,370.13,1.26,0,0,0,10.65,0.4,64.34,0,0,0,0,5.51
 60-70,0,0,0,0,0,435.65,9.57,0,0,1.17,0,0.67,2.04,0,0,5.46,0,0,1.39,289.05,0.84,0,0,0,3.76,0,40.74,0,0,0,0,0
 72-82,0,0,0,0,0,237.25,14.21,0,0,0,0,0.56,0.65,0,0,3.41,0,1.39,1.79,282.59,2.28,0,0,0,1.68,0,23.76,0,0.63,0,1.47,0
 84-94,0,0,0,0.63,0.69,171.85,12.89,1.51,3.25,0,0,0,0,0,0,12.31,0,0,0,173.38,0.6,0,0,7.18,24.6,0.74,12.05,0,0,0,0,0
 96-106,0,0,1.38,3.87,2.34,173.31,4.64,0,0,0,1.06,5.08,1.38,0,0,7.21,0,0,0,220.89,0.7,0.65,0,0,28.54,0.7,8.52,2.08,0,0,0,0
108-118,0,0,0,2.42,0,102.86,6.41,0,0,0,1.95,7.75,0,1.35,0,2.6,0.45,0,0,169.48,3.72,0,0,0,12.98,0.43,7.49,0,0,0,1.11,0
120,0,0,4.41,1.21,0,97.56,8.59,0,0,0,0,8.07,0,0,0,7.07,0,0,0,270.4,0,0,0,0,18.28,5.18,7.22,0,0,2.98,0,0
