stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,0,395.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.04,0,0,0,0,0,0,0
  5-6,17.67,222.87,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.31,0,0,0,0,0,0,0
  7-9,0,0,21.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.88,4.67,0,0,8.04,70.41,0,0,0,0,0,0,0
 10-12,0,7.25,9.95,0,0,0,0,0,0,0,0,0,79.31,0,0,0,0,0,0,0,0,0,0,0,6692.12,17.72,0,0,36.37,0,0,8.87,0,0,0,0,0
 14-21,4.16,0,4.01,3021.88,32.51,0,0.9,0,4.37,0,1.62,0,0,0,0,53.89,0,0,10.52,0,0.94,6.13,0,6.49,69.22,0,0,3929.42,0,14.23,5.95,17.45,13.72,10.65,0,0,0
 24-34,0,0,0,142.38,0,0,1.87,0,4.67,0,0,0,0,0,1.2,46.05,0,4.17,0,0,3,17.52,0,0.62,59.88,1.19,0.67,777.02,0,1.28,0,0.84,0,9.79,0,0,0
 36-46,0,0,0,18.84,0,0,3.04,0,3.1,0,3.79,0,0,0,0,9.85,0,0,0,0,1.45,0.65,0,24.8,68.76,0,0,426.33,0,1.96,0,0,0,6.98,0,0,9.36
 48-58,0,0,0,18.74,0,0,20.12,0,1.86,0,2.5,0.59,0,0,0,11.04,0,1.21,0,0.56,18.82,2.84,0,0.84,158.68,0,0,368.35,0,2.16,0,0,0,6.17,0,0,0
 60-70,0,0,0,53.96,0,0,20.53,1.01,0,0,2.81,1.43,0,0,0,3.5,0,0.73,0,0,12.81,3.51,0,0,326.58,0,0,175.69,0,8.31,0,0,0,36.53,0,0,0
 72-82,0,0,0,71.27,0,0,31.96,0,0.81,0,3.78,0,0,0.58,5.02,17.04,0,0,0.96,0,31.9,4.39,6.07,0,455.22,0,0,268.24,0,7.72,0,0,0,24.84,5.46,1.53,0
 84-94,0,0,0,139.77,0,0,28.38,0,4.44,0,4.94,0,0,0,4.48,25.2,5.59,4.14,0,0,12.15,15.14,0,0,241.88,0,0,278.38,0,22.41,0,0,0,28.56,5.8,0,0
 96-106,0,0,0,311.19,1.74,0,32.02,0,5.95,0,13.08,8.24,0,0,0.74,7.18,0,0,0,0,48.49,36.25,0.75,0,271.27,0.57,2.47,473.05,0,15.95,0,0,0,14.84,12.48,0,0
108-118,0,0,0,348.63,4.01,2.12,26.5,0,9.39,1.22,7.26,9,0,0,7.38,10.78,0,3.19,0,0,32.06,53.78,1.6,1.48,341,0,7.35,445.59,0,9.07,0,0,0,20.84,17.14,0,0
120,0,0,0,230.17,0,0,23.42,0,0,0,4.83,1.22,0,0,0,4.43,0,3.38,5.65,0,14.32,22.78,0,1.71,270.58,0,0,295.05,0,15.09,0,0,0,5.07,6.62,0,0
