stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,91.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,193.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,0,0,0,0,17.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,11.49,0,0,0,0,22.02,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,168.48,18.81,0,65.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,37.48,0,9.35,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.84,11.53,0,161.21,0,0,12.82,0,8.76,0,0,5.09,0,0,0,0,0
 14-21,0,0,4.38,1.1,24.52,2.81,3.28,0,0,0,0.81,1.71,0,0,0,1.74,0,0,0,13.05,0,0,2.9,33.99,0,3.3,4.88,0,1.73,0,7.31,18.93,1.23,0,38.19,0,0,0.85,0,0
 24-34,0,0,1.33,0,33.68,0.81,7.14,0,4.24,1.15,0.65,0,0,7.44,0.6,1.75,0,0,0,29.47,0.77,0,2.7,100.05,3.35,5.85,0,0,3.61,0,0,0.88,0,0.64,31.81,0,0,11.57,0,3.44
 36-46,0,0,0.74,0,75.46,1.5,6.59,0,32.46,0,20.63,0,0,12.95,0,0,0,0,0,43.37,0,1.6,2.61,93.17,0.84,17.11,0,0,0,0,0,0,0,0,32.07,0,0,18,0,4.42
 48-58,0,0,0,0,41,5.08,11.63,0,6.6,0.44,27.13,0,0.75,9.48,0,5.51,0,4.46,0,40.6,0,5,0.92,62.6,0,10.62,0,0.56,0,0,0,0,0,0,43.43,0,0.37,30.98,0,0
 60-70,0,0,0,0,23.32,6.15,25.56,0,21.64,1.68,33.78,0.72,0,5.79,2.98,0.58,0,3.86,0,184.51,0,7.51,6.92,42.17,0,15.63,0,2.07,0,0,0,0.85,0,0,14.98,0,3.64,7.84,0,0
 72-82,0,0,0,0,14.25,183.7,15.13,1.07,12.39,0.56,18.1,0,0,16.14,5.6,1.23,0,3.27,0,197.23,0.73,4.37,1.84,47.42,0,25.16,0,0,2.97,0,0,0,0,0,4.99,0,1.77,29.43,7.53,6.27
 84-94,0,0,0,3.12,28.64,174.89,16.19,0,16.77,0.96,12.05,0,0,7.04,5.82,2.64,0,16.55,0.57,211.33,0.62,15.9,3.28,16.81,0,16.2,0,0,0,0,0,0.77,0,0,20.86,2.26,0,11.86,7.27,0
 96-106,0,0,0,0,21.83,206,24.19,0,12.77,1.12,21.22,0.77,0,4.66,4.79,2.95,0.91,2.93,0,201.9,0,5.66,7.37,58.95,0,28.54,0,2.54,11.29,0,0,1.88,0,0,11.34,0.73,2.42,34.65,5.05,8.79
108-118,0,0,0,0,27.41,91.85,19.97,0.46,8.16,2.47,12.98,1.03,0,8.65,2.62,8.01,0,2.86,1.35,303.41,0,6.63,5.15,49.69,0.43,36.97,0,3.03,3.15,0,0,1.3,0,0,0.62,0,5.68,46.36,3.86,0
120,0,0,0,0,32.1,126.65,34.31,0,20.21,8.35,25.97,0,0,20.34,19.4,6.24,0,0,0,393.27,0,8.59,6.29,33.76,0,46.11,0,2.76,3.98,0,0,0,0,0,0,0,8.54,35.97,14.83,0
