stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0
 24-34,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,2.44,0,0,0,0,0,0
 36-46,9.56,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0.68,0,0.65,0,0
 48-58,3.86,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,2.08,0,0,0,3.37,0,2.5,0,0,0,0,0,0
 60-70,1.71,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,1.78,0,0,0,0,0,0,0,0
 72-82,4.07,0,0,0,0,1.46,0,0,3.99,0,24.87,0,0,0,0,3.03,0,0,0,5.69,0,0.51,0,0,0,0,0,0
 84-94,3.68,3.84,2.51,0,0,9.38,0,0,0,0,43.13,0,1.94,0,0,6.16,0,1.93,1.29,9.97,0,0,0.57,0,0,0,0,0.55
 96-106,9.89,10.46,1.89,23.48,0,20.74,1.45,0,0,0,309.82,0,0.65,0,0,21.63,0,8.3,0,44.62,2.22,0,5.48,0,0,0,2.14,0
108-118,1.97,8.84,0.42,1.99,6.32,11.33,0,0,0,6.17,612.26,2.87,0,0,2.72,55.67,0,17.52,0.55,38.88,0,2.83,0.41,1.68,1.13,0,0,0
120,10.29,3.32,0,3.29,0,0,0,1.55,0,0,356.32,0,7.32,4.81,0,45.24,3.89,9.3,2.24,44.69,0,0,0,0,0,0,0,0
