stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,3.94,0,0,0,0,0,0,0,0,0
 10-12,5.43,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,8.6,0,0,0,10.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.08,0,0,0.92,0,1.32,0.83,0,0,0,0,0,0.96,0,0.82,1.47,0,0.99,0,0
 24-34,0,0,0.59,0,0,0,0,0,0,0,0,0,0.99,0,0,2.95,0,0,0,0,0,0,0,0.83,0.77,0,4.23,0,0
 36-46,0,0,0,0,0,2.28,0,1.62,0,0,0,0,0,0,0,2.71,0,0,0,0,0,0,1.56,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.08,0,0,0,0,0,0,1.31,0,0,0.61,0.49,0,0.69,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.93,0,117.67,0,1.55,0,0,0,0,1.22,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.15,0,661.62,0,1.7,0,0,0,0,0,0,0,17.75,0,2.81,0,0,0.54,0,0,0,0,0,4.42,0,2.33
 84-94,0,0,0,1.38,0,792.27,2.24,3.74,0.57,0,0,2.47,7.64,0,0,11.93,1.25,0,0,0,0,0,0,0,0,1.79,0,4.58,0
 96-106,0,0,0,0,5.59,673.89,3.61,2.01,0,0,0,2.16,11.19,0,0,26.44,0,0,0,0,3.17,0,1.49,0,2.65,0,0,0,0
108-118,0,1.22,0,0.72,0,680.21,0,0,0,0,0,0,2.97,2.15,0,20.38,0,0,4,0,0,0,0,0,2.16,0,0,0,0
120,0,0,0,0,0,822.07,2.44,1.34,0,0,5,0,5.75,0,0,11.99,0,0,0,0,0,0,0,0,8.94,0,0,0,0
