stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,24.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.08,0,0,0,0,0,0,0,0,0
  7-9,11.55,41.3,0,4.91,0,0,0,150.12,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,1097.05,26.71,0,0,143.78,0,19.92,0,0,0,0,0,0,0,0,0
 10-12,0,66.22,0,9.27,0,0,0,256.89,0,0,0,0,0,138.43,0,0,0,0,0,0,0,0,0,0,2608.15,49.33,0,0,420.96,0,0,0,19.13,0,5.3,0,0,0,0,0
 14-21,0,0,4.05,16.6,290.98,40.2,0,114.87,0,6,0,22.92,9.46,16.11,2.04,0.89,12.27,0,3.75,0,22.5,0,0,10.57,969.96,21.88,28.74,39.34,15.26,0,52.64,11.53,12.64,5.13,34.7,305.98,0,0,0,0
 24-34,0,0,3.25,9.57,51.7,12.82,0,77.18,0,2.37,0,15.84,5.84,2.08,2.24,0,12.99,0,7.94,3.35,20.39,2.33,0,4.02,655.74,5.67,33.98,18.55,0,0,69.2,4.18,3.74,0,0.63,143.68,0,0,10.1,0
 36-46,0,0,1.81,1.99,26.59,8.18,0,144.78,0.73,3.38,0,34.98,1.18,0,0,2.15,11.72,0,5.88,12.87,27.78,2.84,0.55,11.3,654.95,2.67,51.47,26.7,0,0,145.58,0,6.49,0,0,140.97,0,0,4.99,0
 48-58,0,0,1,0,29.25,12.48,0,149.87,0.86,6.66,1.07,33.07,1.9,1.12,0,2.94,9.17,0,8.69,1.49,33.88,8.02,0,3.32,304.1,2.44,30.88,19.78,0,0,70.67,0,13.1,0.39,0,58.42,0,0,5.89,0
 60-70,0,0,1.1,0,35.03,3.49,0,153.67,0,4.1,0,35.51,17.78,1.78,0,0.57,1.1,0,8,10.51,35.59,1.43,0,0,252.87,0,12.61,27.04,0,0,47.43,0,3.27,0,0,41.18,6.03,0,1.11,0
 72-82,0,0,7.9,0,35.26,14.4,0.7,175.93,4.57,6.6,0.59,46.04,10.45,0,1.16,1.13,6.12,0.76,5.37,6.33,52.7,9.39,0.93,4,270.95,0.6,39.58,28.48,0,0,50.42,0,0.82,0,0,41.56,6.46,1.26,5.5,0
 84-94,0,0,16.49,1.04,58.31,23.48,13.72,206.29,0,8.71,1.19,30.68,31.74,1.28,0,5.91,23.77,0.65,7.91,13.83,51.32,9.38,1.3,2.31,285.61,1.82,31.33,47.22,0,0,145.82,0,4.69,0.62,0,16.67,30.59,1.05,5.74,1.83
 96-106,0,0,0.56,0,51.57,26.5,2.88,154.72,0,5.86,0,37.07,27.61,0,0.61,10.33,12.61,1.26,17.74,4.51,57.67,18.45,0.73,1.35,227.22,0.7,41.58,40.5,0,0,88.28,0,2.35,1.9,0,14.97,21.82,1.58,7.72,0
108-118,0,0,14.45,0.49,106.7,23.53,24.07,142.84,2.76,27.95,4.58,71.75,56.45,0,1.62,16.98,44.38,0,18.42,18.8,93.7,7.07,2.94,5.55,490.77,7.41,40.39,53.86,0,0,151.65,0,7.08,1.87,0,23.01,35.34,0,15.21,0.72
120,0,0,4.33,1.28,84.38,39.1,3.63,127.48,4.17,25.58,1.44,48.84,39.45,0,0,9.11,5.09,0,2.73,20.49,103.29,4.87,1.38,1.62,596.58,21.55,69.8,63.76,0,13.12,116.51,0,13.5,1.8,0,20.22,15.43,0,1.48,10.92
