stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,164.02,2518.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.79,0,0,0,0,0,0,0,0,0,0
  5-6,84.86,2173.96,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,183.68,0,0,0,45.16,0,18.22,0,0,0,0,0,0,0,0,0,0
  7-9,98.44,94.75,0,101.77,0,0,0,463.54,0,0,0,0,0,53.59,0,0,0,0,0,0,0,0,0,0,0,2937,138.87,0,0,1008.37,0,0,51.02,0,0,0,0,0,0,0,0,0
 10-12,0,167.2,0,215.87,0,27.2,0,458.78,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,4098.85,144.49,0,0,1288.16,0,3.1,25.23,12.55,145.31,5.96,0,0,0,0,0,0
 14-21,0,0,8.5,10.16,374.26,62.16,0,198.75,0,4.66,0,176.41,10.85,4.04,2.92,0,1.15,0,0,0,1.91,202.94,0.9,0,114.44,2889.28,64.05,17.92,52.12,71.93,0,3.41,19.96,239.71,120.36,75.03,1358.97,0,0,12.58,0,2.12
 24-34,0,0.83,3.48,11.31,116.38,15.21,0,184.91,0,6.91,2.25,166.75,3.75,0,8.3,0,0,2.84,10.03,2.19,3.76,315.24,0,1.21,120.36,3553.14,12.59,41.94,25.63,0,0.99,5.34,0,0,31.59,11.42,1054.32,0,0,43.03,0,15.37
 36-46,0,0,3.76,0,51.19,1.4,0,166.08,0,6.57,13.61,165.09,0.82,0,3.93,0.67,0,0,4.63,0.57,9.14,309.41,0.56,8.17,74.93,2484.61,6.76,60.44,19.35,0,0,8.46,7.67,0,23.25,0,862.91,0,0,37.38,0,1.69
 48-58,0.39,0,0.83,0.45,39.96,0.41,0,223.18,0,11.59,12.96,252.66,0.41,0,3.91,0,0.55,3.07,3.52,0,4.02,290.91,0.7,14.94,61.71,1056.5,7.12,39.46,11.63,0,0.47,5.09,0,0,2.11,0,412.2,0,1.41,12.62,0.5,4.38
 60-70,0.81,0,1.56,2.79,27.54,0.6,0,330.49,0.58,13.45,11.9,218.5,1.84,0,5.9,0,3.1,0.85,3.64,0,0.71,270.44,1.1,23.62,36.11,842.54,7.18,40.47,13.44,0,5.03,3.47,0,0,0.64,0,190.38,0,5.19,19.46,2.76,15.77
 72-82,0,0,5.69,0,26.1,5.12,0,302.61,0.75,3,19.54,275.39,10.19,0,6.76,1.64,1.74,5.49,6.55,13.29,0.55,511.41,0,24.52,45.62,785.4,1.15,80.93,15.8,0,3.5,1.59,0.56,0,4.84,0,174.54,1.16,10.78,25.22,13.87,28.07
 84-94,0,0,10.31,1.01,47.01,8.13,0,219.44,0,12.8,20.62,178.15,13.44,0,4.8,0,2.43,7.65,12.53,1.44,0.83,425.23,3.06,28.25,30.14,623.61,1.52,75.51,13.56,0,3.75,11.27,0,0,5.62,0,134.48,5.39,11.02,35.44,19.55,15.29
 96-106,0,0,11.98,0,43.79,22.24,0.84,242.32,0.64,13.88,16.55,258.49,12.45,0,11.83,2.52,3.41,4.43,8.64,3.01,0,391.94,1.23,17.92,37.23,567.17,1.61,111.08,25.16,0,1.47,2.33,2.01,0,7.86,0,79.36,8.53,12.2,15.34,38.12,3.89
108-118,0.5,0,9.11,0.49,57.33,6.1,4.56,251.13,0,27.09,20.01,288.62,12.38,0,8.78,5.51,4.54,3.39,10.5,5.42,0.72,568.12,0,20.78,38.1,912.26,3.4,111.26,31.04,0,7.75,3.6,1.48,0,6.05,0,72.52,2.54,9.63,33.16,25.47,8.92
120,0,0,6.93,0,42.43,12.25,0,212.99,2.85,11.42,27.92,245.06,28.72,0,3.94,1.18,3.84,2.76,3.72,9.82,0,284.93,1.16,35.59,19.61,862.32,1.08,33.15,29.18,0,10.46,1.07,0,0,9.87,0,98.68,6,8.05,38.44,17.72,2.34
