stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.23,0,0,0,0,0,0,0
  5-6,0,60.75,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,12.41,859.48,0,0,0,0,0,0,0
  7-9,4.88,12.44,0,0,0,8.52,0,0,0,8.02,0,0,0,0,0,0,0,0,44.39,0,0,8.55,339.41,0,0,0,0,0,0,0
 10-12,0,0,0,36.25,0,25.29,0,0,0,0,0,0,0,0,0,0,0,0,233.7,10.09,0,15.74,251.69,0,0,0,0,0,0,0
 14-21,0,0,0,1.69,9.76,0,0,1.08,0.85,0,0,6.35,0,0,0,2.21,1.49,0.88,5.06,0,0,0,252.33,0,1.68,1.84,0,0,0,0
 24-34,0,0,0,1.29,2.8,0.63,1.89,0,2.67,0,0.6,3.57,0,0,0,4.46,0.69,4.38,23.57,6.83,1.68,0,426.59,0,0,0,0,2.77,0,0
 36-46,0,0,0,0,2.71,2.89,0.71,1.5,0,0,0,3.76,0,0,2.6,8.62,2.02,0.65,20.08,13.59,1.35,0,387.15,7.66,0,3.96,0,0,0,0
 48-58,0,0,0,0,1.38,2.03,0,1.31,0.76,0,0,0,0,0,3.21,15.35,0.46,0.51,6.81,6.16,2.84,0,224.02,0.39,0,1.41,0,0,0,0
 60-70,0,0,0,0,14.43,4.35,4.01,1.53,0,0,0,5.85,0,4.47,5.48,74.25,1.58,0,12.88,0.75,3.93,0,242.03,0.62,0,3.76,2.13,0,0,0
 72-82,0,0,0,0,9.52,3.84,4.34,1.29,0.57,0,0,4.93,0,2.96,4.38,72.93,0,0,8.56,3.01,4.65,0,131.94,2.36,0,0,0,0,3.41,0
 84-94,0,0,1.19,0,26.36,2.48,3.54,0,3.96,0,0,12.21,0,0,0,77.07,2.53,1.06,4,1.32,4.77,0,461.58,0,0,0,3.43,0,0,9.51
 96-106,0,0,0,0,28.61,4.31,4.5,1.01,3.74,0,0,10.51,0.75,0,0,57.28,3.52,0,29.52,3.03,13.89,0,410.32,0.76,0,0,6.9,0,0,0
108-118,0,0,0,0,49.21,1.35,12.22,5.83,7.65,0,1.12,18.4,0,0,1.8,28.71,3.13,0,5.94,0.47,14.77,0,298.12,1.54,0,0,5.04,0,0,0.93
120,0,0,0,0,41.84,0,7.6,0,1.18,0,0,15.14,0,0,0,41.85,0,0,0,4.49,2.74,0,196.25,0,0,0,0,0,0,0
