stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,193.29,2810.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.44,0,0,0,0,0,0,0,0,0
  5-6,77.35,723.9,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0
  7-9,0,13.6,0,0,0,0,3.56,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,162.59,4.58,0,0,40.99,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.44,0,0,0,24.19,0,17.4,7.35,0,0,0,0,0,0,0
 14-21,0,0,4.55,10.91,4,0,0,0,0,0,1.08,18.17,0,3.12,0,0,0,0,0,0,12.11,0,0,0.87,8.32,0,1,0,0,0,0,0.89,1.38,12.84,0,0,0,0,0
 24-34,0,0,0,5.63,0,0,1.4,0,0,0,1.56,0,0,2.74,0,0,0,1.99,0,0,5.31,0,0,0.64,113.04,0,3.9,2.24,0,0,0,0,0.74,14.88,0,0,1.13,0,0
 36-46,0,0,0,14.7,0,0,4.68,0.95,0,0,0,0,0,0,0,1.67,0,3.14,0,0,6.07,0,0.8,0.69,412.44,1.28,4.41,0,0,6.33,0,0,0,25.78,0,0,0,0,2.73
 48-58,0,0,0,2.95,0,0,27.66,0,1.46,0,8.1,0,0,0,0,0,0.62,1,0,0,8.18,0,0,1.15,671.29,9.55,1.41,3.56,0,0,0,0,0,46.49,0,0,0,0,0
 60-70,0,0,0,2.12,0,0,48.34,0,0,0,15.29,1.91,0,0,0,0,0,6.06,0,0,1.56,0,0,1.33,1134.02,4.17,12.91,3.4,0,0,0,1.35,0,90.13,2.51,0,0,0,7.44
 72-82,0,0,0,5.13,0.68,0,95.15,1.52,3.38,0.55,18.02,0.69,0,0,0,0.68,0,4.48,0,0,14.04,0,0,1.42,1276.64,0.56,7.32,1.53,0,0,0,0,0,74.31,0,0,2.51,0,0
 84-94,0,0,0,8.25,0.9,0,85.42,0,3.72,2.84,23.95,4.46,0,1.02,1.33,0,1.13,5.93,0,0,21.51,0,0,0.96,965.19,13.03,3.64,2.48,0,0,0,1.39,0,32.15,5.9,0,1.11,1.95,0
 96-106,0,0,0,4.51,3.39,0,75.95,0,1.68,1.45,27.23,3.9,0,0,0.64,0.91,0,1.58,0,3.61,17.8,3.31,0,3.64,882.84,5.02,4.68,4.46,0,1.87,0,0,0,31.24,3.03,0,3.89,0.69,0
108-118,0,0,0,7.59,0,0,150.71,0.49,0.52,0,18.6,1.36,0,0,0,0.58,0,7.23,2.95,0,13.15,0,2.46,3.74,800.07,12.23,2.84,2.21,0,0.96,0,0.51,0,27.85,4.09,1,1.03,3.15,0
120,0,0,0,10.05,0,3.13,190.59,0,0,0,39.52,0,0,0,0,0,0,17.8,0,0,12.84,0,0,1.09,1758.17,37.09,6.7,17.84,0,4.3,0,0,0,60.93,14.85,0,0,0,0
