stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,3.21,0,0,0,0,0,0
 14-21,0,0.96,0.83,0,0,0,0,0,0,0,1.28,0,0,2.49,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,7.39,0,0,0,0,2.92,0,1.04,1.72,0,0,0,0,0,0,1.29,0,0
 36-46,0,0,0,5.16,0,0,0,0,0,0,1.15,0.89,0.95,0.7,0,0,0,0,0,0,6.87,0,1.47
 48-58,0,0,0,7.47,0,0,0,0,0,0,0,0,0,12.7,1.27,0,0,0,0,0,7.4,0,0
 60-70,0,0,0,14.26,0,0.64,0,0,0,0,0,0,1.13,161.42,0,3.17,0,0,0,0,6.44,0,0
 72-82,0,0,0.55,83.25,2.14,6.05,0.56,2.78,0,0,7.12,0,1.51,281.32,6.21,0,0,0.71,0.81,0,5.48,0,7
 84-94,0,0,0,50.1,0,5.12,0,1.91,0,0,3.99,0,0,155.36,0,2.11,0,0,3.06,1.18,7.1,0,0
 96-106,0,0.63,0,40.11,0,8.53,0,2.1,0.68,0,9.69,0,0,216.03,0,1.08,0,0,0,0,0,0.68,0
108-118,0,2.45,0,41.17,0,4.4,0,1.29,0.42,1.67,6.78,0,0,303.6,1,2.2,0,0,0,0,1.73,0,0
120,0,0,0,119.59,0,0,0,3.88,0,0,4.37,0,0,352.42,2,5.18,0,0,1.39,2.81,5.23,0,0
