stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,30.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.3,0,0,4.66,0,0,0,0,34.47,0,0,0,0,0,0,0,0,0,37.56,0,0,0,16.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.93,0,0,5.87,0,0,0,0,8.49,0,0,0,0,0,0,0,0,0,132.19,0,0,0,12.09,0,0,0,0,14,0,0,0,0,0,0
 14-21,0,0,0,1.03,2.54,0,8.07,0,0,0,0,0,0.96,0,0,0,0,2.21,0,0,1.45,43.16,4.22,0,0,0,0,0,0,1.06,0,11.68,0,0,5.51,0,0
 24-34,0,0,0,0,4.72,2.73,5.75,0,0,1.83,0,0,1.38,0,0.63,0,0,3.62,0,0,0,246.15,34.64,13.97,0,0,0,2.63,0,0,0,48.55,0,0,21.45,0,12.86
 36-46,0,0,0,0,4.01,0,11.27,0,0,0,0,6.39,2.4,0,0,0,0,5.13,0,0,0.72,789.8,33.32,20.43,0,0,0,0,0.81,0,0,89.69,0,0,11.56,0,46.09
 48-58,0,0,0,0,13.73,0,59.99,0.47,0.41,8,0,0,1.79,0,2.68,0,9.97,10.46,0,0.4,0.58,1177.01,52.57,13.55,0,0,0,2.55,0,0,0,95.65,0,0,8.91,0,92.82
 60-70,0,0,0,0,5.64,0,114.83,6.35,9.59,1.96,0.62,0,0,0,0,0,0,28.25,0,1.79,1.39,1622.22,22.59,1.17,0,0,0,0,0,0,0,94.02,2.13,0.9,21.69,0,41.77
 72-82,0,0,0.54,0,11.33,0,102.77,0.74,0,11.82,0,0,2.32,0,0.5,0,3.33,25.87,0,0,1.31,1158.3,11.18,4.15,0,0,0,0,0,0,0,50.29,0.74,0,11.97,0,52.55
 84-94,0.62,0,1.65,0,26.78,0.75,103.17,1.48,0,14.81,0,0,3.48,1.52,0,7.9,13.16,17.39,0,0,0.83,771.06,20.92,5.05,0.72,0,0,0.93,0,0,0,32.76,0.78,0,9.2,0,42.5
 96-106,0,0,1.1,0,22.21,1.34,64.66,9.21,0,8.19,1.03,0,1.79,0,0,0,8.94,23.57,0,0.59,0.62,468.96,16.68,4.49,0.68,0,0.99,0,0,0,0,2.27,0.59,0,5.67,0,25.48
108-118,0,0,0,0,75.04,0,44.38,31.75,0,4.82,0,0,2.49,0.7,13.11,0,8.74,16.75,1.26,0,0,626.95,22.84,6.38,0,0,0.91,0,0,0,0,1.43,0.83,0.45,7.9,0,27.43
120,0,0,0,0,76.4,0,60.39,18.86,0,7.55,0,0,0,1.28,0,0,0,32.54,0,0,0,1014.99,35.86,0,0,0,0,0,0,0,0,12.98,0,0,16.49,2.66,19.22
