stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.94,58.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,10.72,0,0,0,0,6.92,0,0,0,0,0,0,0,34.19,9.45,0,0,19.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,130.26,0,0,0,4.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,39.09,0,2.02,0,0,0,0,0.83,13.62,1.33,0,0,0,0
 24-34,0,0,1.26,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0.88,0,53.8,0,0,0,0,0,0,0,123.38,12.87,0,0,9.2,0
 36-46,0,0,0,0,0,16.37,0,0,2.72,0,0,0.96,0,0,0,0,0.61,0.73,33.91,0,2.07,0,0,1.81,0,0,57.59,3.09,0,0,12.94,0
 48-58,0,0,0,1.43,0.77,22.76,0,0,2.26,0,0,2.06,0.5,0,0.69,0,6.01,0,19.1,0,0.68,0,0,0.6,0,0,54.78,5.73,0,0,8.55,0
 60-70,0,0,0,0,0,101.4,0,0,0,3.75,0,0,0,1.16,0,0,4.95,0,12.76,0,0.7,0,0,0,0,0,72.91,0,0,0,2.55,0
 72-82,0,0,0,0.69,7.28,194.33,0,0.94,4.41,21.13,0,1.14,0.75,0,0.68,4.08,5.18,0,22.01,0,2.55,0.56,0,2.87,0,0,67.17,0,0,0.73,7.78,0
 84-94,0,0,0.8,5.01,0,232.38,0,0,4.54,56.06,0,0.76,0,0,0,6.69,0.76,0,31.65,0,11.08,0.59,0,2.94,0,0,104.54,4.19,0,0,4.87,0
 96-106,0,0,0.95,10.71,0.78,252.82,0.64,0,0,74.63,0,1.49,1.93,1.33,0.75,0,4.76,0,41.29,1.64,6.37,0.96,0,2.24,7.65,0,102.38,0,0,0,3.44,6.26
108-118,0,0,0,4.05,0,256.33,0,0,7.22,115.66,0,0,0,2.17,1.82,0.43,18.35,2.08,38.2,0,6.62,0,0,0.51,0,0,71.31,0,1.08,0.99,3.27,0
120,0,0,0,0,0,358.45,0,0,1.75,152.95,5.2,9.8,1.17,0,0,9.49,4.78,0,7.94,0,0,0,0,0,0,0,62.98,0,0,0,12.59,0
