stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,31.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,4.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.78,0,0,0,0,0,0,0,0,0,0,27.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.73,0,0,0,0,0,0.81,0,0,0,0,0,0,11.47,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.2,1.37,0,0,0,0,0,0,0,0.93,0,0,8.26,0,0,0,0.99,0,1.27,0,0,0
 36-46,0,0,0.65,0,0.65,3,2.32,0,0,0,0,0,2.6,0,1.69,8.76,0,0,0,0,0,0,0,0,0
 48-58,0,0,9.01,1.73,0.44,0,9.36,0.58,0.53,0,0,0,0.76,0,0,12.82,0,0.48,2.59,0,0,2.67,0,0,0
 60-70,0,0.89,2.19,1.11,8.46,2.7,9.37,0,0,0,0,0,1.68,0,0.69,9.88,0,0,0,2.07,0,1.42,0,0,0
 72-82,0,0,0,2.06,0.65,1.61,21.54,0,0,2.85,0,0,13.18,1.08,0.96,11.14,0.81,0,0.71,0,0,1.71,0,1.91,1.16
 84-94,0,0,1.46,3.02,3.25,0,1.99,3.35,0,0,0,0,11.41,0,0,10.18,0,0,4.66,0,2.33,0,0,0,0
 96-106,0,0,2.49,20.98,3.37,0,5.88,0,0,1.04,0,0,8.37,0.66,0,0.83,0,0,3.4,0,1.01,2.53,0,0,0
108-118,0,0,3.38,26.44,6.91,0.43,1.75,0,0,0,0.49,0.63,6.76,0,1.23,15.05,0,1.19,0,0,0,2.21,0.85,0,0
120,0,0,2.66,8.01,0,0,4.39,0,0,0,1.4,1.45,0,0,0,14.56,0,0,0,0,0,0,0,11.72,0
