stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,ionocyte,mucous,muscle,neural,periderm,spinal_cord
 14-21,0,0,0,0,1.18,0,0,0,0,2.55,1
 24-34,0,0.7,1.99,0,0,0,0,0,1.56,7.37,0
 36-46,0,0,0,0,0,0,0,0,1.27,1.8,1.11
 48-58,0,0,1.39,0,0.55,0,0.57,0,0,13.17,1.59
 60-70,0,1.57,1.01,1.7,0,0,0,1.13,0,15.68,0
 72-82,0,2.1,0,0,0,0.53,0,0,0.9,9.7,1.36
 84-94,0,0,0,0,0,0,0,0,0.94,23.88,0
 96-106,1.1,5.22,0,1.04,0,0,0,0,8.38,19.62,0
108-118,0,4.16,3.6,0,0,0,0,0,0,10.55,0
120,0,3.39,0,0,0,0,1.1,0,1.89,17.47,0
