stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vasculature
  3-4,12.35,226.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,119.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,35.23,0,0,0,6.83,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.72,0,0,17.41,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0.82,2.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,0,1.31,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0.82,0,1.41,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,3.5,0,0,0,0,0,0,0,0,0,0,4.63
 60-70,0,0,0,0,2.05,0,1.84,0,16.8,0,0,0,1.81,0,0,0.72,0,0.99,0.84,0,0,0,0,0,5.23,0,13.03
 72-82,0,0,0,0,2.38,1.45,0,0.63,66.52,0,0,0,6.61,0,0,12.34,0.52,1.18,1.92,0,0,0,0,0,1.38,0,22.63
 84-94,0,0,1.32,0,2.23,0.77,0,0.66,16.7,0,0,0,2.73,0,0,0,0,2.19,0,0,3.31,0,0,0,0,0,27.49
 96-106,0,0,0.57,0,2.59,2.2,0,0,114.34,0,0,0,15.41,0,1.02,1.12,0,2.67,0.64,0,0,1.02,0,0,0,1.26,27.72
108-118,0,0,0,0.66,1.78,0,3.25,0,180.35,0,1.26,2.5,7.13,0.94,0.76,4.67,0,1.86,0,0,0,0,0,0,0,0,40.32
120,0,0,0,0,8.25,0,0,0,455.36,1.36,0,0,0,0,15.05,32.12,0,1.11,0,0,0,0,0,0,0,0,35.33
