stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature
 14-21,0,2.7,0,0.86,0,0,0,0,0,0,0.87,0,0,0,16.81,0,0,0,1.73,6.1,0,0
 24-34,0,0,0,8.29,0,0.79,0,0,0,0,2.14,0,0,4.41,83.47,1.61,0,6.11,0.72,14.67,0,0
 36-46,0,0,0,11.23,0,2.81,0,0,0,0,6.65,0,0,1.27,47.86,0,0,1.12,0,6.45,0,0
 48-58,0.44,0,0,12.33,0,3.08,0,0,0,0,7.34,0,0,1.6,36.14,0.59,3.87,0,0,7.93,0,0.51
 60-70,0,0,0,9.27,0,4.03,0,0,0,0,0,0,0,0,25.77,0,0,0,0,3.21,0,0
 72-82,0,0,0.84,9,0,1.36,0,0.75,0.5,0,3.44,0,0.57,0,24.14,0,0,0,0,0,0,0.59
 84-94,0,0,0,14.65,0,4.37,0,0,0,0,3.68,0,0,1.36,3.67,0,0,0,0,0,0,1.16
 96-106,0,0,0,2.38,0,7.58,0,2.93,0,0,1.33,0,0,0,1.83,0,0,0,0,0,0.8,0
108-118,0,0,0,0.45,0.52,0.67,0.63,0,0,0.61,4.56,0.54,0,0,13.94,0,0,0,0,0,0,1.38
120,0,0,0,0,0,5.71,0,0,0,0,4.73,1.63,0,0,7.21,0,0,1.28,0,0,0,0
