stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,18.44,368.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.18,0,0,0,0,0,0,0,0,0
  5-6,6.15,506.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.81,0,0,0,0,0,0,0,0,0
  7-9,0,62.76,243.67,0,0,359.94,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,2074.26,13.61,0,228.73,0,17.94,0,0,0,0,0,0,0,0,0
 10-12,0,30.05,76.26,0,5.46,133.15,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,986.55,0,0,182.06,0,0,0,0,0,0,10.59,0,0,0,0
 14-21,0,0,0,172.33,0,1.69,0.95,0,1.32,1.07,0,0,1.61,0,0,2.95,15.96,0,0,14.37,53.98,0,0,0,0,8.85,0,1.68,0,2.86,11.7,11.68,0,0,0
 24-34,0,0,0,39.32,1.89,6.9,1.86,0,0.83,0,0,2.77,0,0,1.01,10.97,31.14,0,0,8.03,107.74,0.64,0,0,0,20.46,0.98,0,1.32,0,0.92,44.4,0,0,0.66
 36-46,0,0,0,26.79,0,19.07,0,0,4.8,0,0,1.34,0,0,0.7,10.69,30.24,3.23,0,4.39,86.53,0,0,0,0,18.94,0,0,0,0,0,12.93,0,0,1.77
 48-58,0,0,0,5.36,0,6.4,0,0.59,10.23,1.77,0,0.59,0,0,0,0.6,22.47,0,0,3,85.91,7.35,0,0,1.26,9.99,0,0,2.28,0,0,28.86,0,0,0.61
 60-70,0,0,0,4.74,0,0,0,0.85,0,1.99,0,0,0,0,0.8,2.38,18.55,0,0,0,11.94,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0.68
 72-82,0,0,0,2.37,0,2.84,0,2.37,0.5,0,0,0,0,0,0.72,0.8,15.95,0,0,3.1,9.45,0,0,0,0,3.03,0,0,1.55,0,0,0,0,0,0
 84-94,0,0,0,9.45,0,3.13,0,2.76,0,2.1,0,0,0,0,0,9.81,9.14,0,0.66,0.86,2.24,0,0,0,0,20.8,0,0,1.44,0,0,0,0,0,0
 96-106,0,0,0,7.43,0,0.65,0,1.36,0,4.3,0,0,0,0,0,5.05,29.68,2.07,0,1.2,11.35,0,0,0,0,17.35,0,0,0.57,0,0,0,0.79,0,0
108-118,0,0,0,10.2,0,0,0,3.23,2.38,0.43,0,0,0.49,0.68,0,16.62,34.85,0,1.99,5.83,6.41,0,0.43,0,0,13.32,0,0,0,0,0,1.68,0,0.85,1
120,0,0,0,4.93,0,10.25,0,0,0,13.21,0,0,0,0,0,42.54,8.18,0,0,8.58,7.37,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0
