stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.51,25.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.9,3.89,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.63,8.13,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16,16.89,0,0,41.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20.19,11.64,5.21,0,0.87,0,0.95,0,0,0,0,0,0,0,0,0,9.29,0,0,6.58,67.11,1.75,0,0,1.92,4.53,4.9,1.66,0,4.28,12.75,0,0,1.49,0,0
 24-34,0,0,1.31,0,13.67,0.94,12.45,0,0,0.84,0,0,0,1,0,1.85,1.72,0.75,4.23,2.42,41.35,0,0,8.57,181.12,4.62,1.85,3.65,0,29.09,0,0,0.61,1.86,41.47,0,0,3.56,0,3.63
 36-46,0,0,0,0,5.77,1.32,12.33,0,15.41,0,1.79,0,0,0,0,0,0,0.6,1.07,4.51,25.01,0,0,1.78,121.81,0.65,0.91,0,0,63.72,0,10.93,0,0,24.01,0,0,5.76,0,5.49
 48-58,0,0,0,0,22.34,0,45.52,1.52,16.71,4.79,4.81,0,0,0.48,0,0,0.41,2.33,0.39,13.36,38.03,2.33,0.6,1.77,88.38,4.25,0.9,1.07,0,35.85,0,0,3.56,0,14.41,0,0,4.73,0,8.39
 60-70,0,0,0,0,1.74,0,98.58,1.06,6.11,5.05,8.43,0,0,0.77,0,1.79,0,2.64,0,2.72,49.03,0,0,12.12,50.08,17.72,2.62,6.8,0,63.39,0,1.87,0,0,2.18,0.84,0,0.58,0,16.57
 72-82,0,0,0,0,9.8,0,138.94,0,1.37,6.51,22.71,0.92,0.59,2.75,0,0,4.29,2.88,4.11,2.83,113.19,0.66,8.64,6.83,19.87,2.3,1.71,5.42,0,14.74,0,0,0,0,2.25,0.5,1.75,5.76,3.27,0.99
 84-94,0,0,0,0,13.95,0,62.52,4.25,2.27,10.63,17.76,2.69,0,0,0,0,1.45,3.14,0,22.35,73.16,0,9.23,2.45,22.53,8.8,0,1.56,0,37.82,0,1.35,0,0,1.09,1.17,0,4.62,11.08,2.11
 96-106,0,0,0,0,10.59,8.48,70.57,0,1.17,0,23.71,2.76,0,0,0,0,0.92,0.67,0,0.81,55.48,0,1.25,1.39,23.3,3.42,1.42,2.71,0,17.34,0,1.33,0.68,0,3.22,0.83,1.5,4.54,0,5.53
108-118,0,0,0.92,0,11.79,0,60.04,0,4.32,7.92,17.05,1.51,0,0,0,0.47,1.94,0.6,0.6,4.5,72.04,10.63,2.22,0,29.67,0.59,0.43,1.27,0,25.34,0,3.6,0.93,0,1.02,2.13,0.41,11.9,1.13,0
120,0,0,0,0,21.12,0,37.81,2.98,6.37,9.09,39.04,1.02,0,5.85,2.39,0,3.65,1.08,1.06,9.23,158.57,0,0,3.21,53.85,0,5.91,1.43,0,36.44,0,11.62,0,0,0,20.04,0,11.9,8.36,2.59
