stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0.81,0,0,7.24,0,1.44,0,0,0,0,0.91,0,0,0,0
 24-34,0,0.8,0,0,1.35,0,0,0,3.84,3.36,0,0,0,0,0,0,44.03,0,8.91,2.6,0,0,0,15.64,0,0,0,0
 36-46,0,0.61,0,0,8.45,0.73,0,0.57,3.5,0,0,0,0,0,0,0,102.16,0,14.29,0,0,0,0,28,0,0,0,0
 48-58,0,0,0,0,22.85,0,0,0,0.48,0,0,0,0,2.1,0,2.94,161.19,0,4.16,0,0,0,0.61,46.38,0,1.73,0,0
 60-70,0,0,2.42,0,101.08,0.93,0,0,4.11,0,6.65,0,0,7.04,0,0,182.6,0,5.39,0.63,0,4.12,0.68,44.65,0,0.72,0,0
 72-82,0,0,2.03,0,149.55,0,0,1.67,8.67,0.7,0,0,0,9.95,1.07,0.69,173.58,0,20.89,0,0,0,0,33.81,0.93,1.21,1.27,4.43
 84-94,0,0,5.67,7.12,106.09,1.37,0,0,2.63,0,0,0,0,4.35,0.92,0,111.37,0,9.04,5.59,0,0,0.56,19.41,0,0,0,0
 96-106,0,0,0,0,118.95,1.69,0,0,8.27,4.36,0,4.25,4.25,12.73,0,0,112.11,0,8.84,1.74,0,3.17,0,11.48,4.09,1.47,7.77,0
108-118,0,0,3.19,0,146.48,0.93,0.46,0,2.76,0,0,0,0,2.59,5.89,0.53,187.91,0,1.91,2.85,1.02,2.49,0,14.62,0,1.47,0,1.09
120,0,0,0,0,178.69,0,0,2.45,18.34,0,0,0,1.54,14.44,0,1.56,320.12,1.33,14.03,3.98,0,0,0,3.82,0,2.66,1.59,0
