stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.77,0,46.96,0,0,0,0,0,0,0,0,0,0,0,1.22,18.37,0.75,0,0,0,0,0,0,0,0
 36-46,0.82,0,32.09,0,0,0,0,0,3.2,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0
 48-58,0,0,82.26,0,0,0,0,0,0,0,0,0,12.18,0,0,1.36,0.87,0,0,0,0.54,0,0,0,0
 60-70,0,0,126.48,0,0,0,9.12,0,0,0,0,0,20.16,0,0,6.78,0,0,0,0.56,0,0,0,2.13,3.52
 72-82,2.5,9.89,101,0,0,0.87,1.44,0,0,5.4,0,0.79,19.73,0.72,0,41.55,0,0,1.77,0,0,9.81,0,0.67,0
 84-94,0,0.63,146.23,0,0,0,0,0,0,0,0,0.58,18.2,1.4,0,14.97,4.09,0,3.86,0,0,0,0,0,0
 96-106,2.73,0,152.94,0.86,0,0,0,0.74,0,0,2.47,0,30.98,1.03,2.41,56.22,0,1.71,8.65,0,0,4.58,0,0,0
108-118,0,4.46,183.57,0,0,0,0.66,0,0,0,7.87,0,33.68,0.46,3.75,42.63,0,0,7.57,0,0,0,3.49,0,0
120,0,0,281.66,0,2.21,0,13.95,0,0,0,0,0,79.23,0,4.01,6.29,0,0,19.49,0,0,0,0,0,0
