stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,57.98,0,0,0,0,8.69,0,7.77,0,0,0,0,0,0
 14-21,0,0,1517.22,31.5,0,0,0,148.36,0,2.14,0,0,0,0,0,0,0,5.58,9.52,0,8.31,101.49,0,1.23,1.05,0,0,0,0,8.85,0,0,24.36,12.43,0,0,40.98,0,0
 24-34,0,0,1157.37,20.21,0,29.18,0,628.21,15.3,3.04,0,0,2.11,0,0,0,0,35.8,11.27,0.91,32.5,190.24,0,1.77,0,0,0,7.14,0,0,0,0,4.18,53.26,0,0,116.05,0,0
 36-46,0,0,663.49,0.57,0,56.14,0,703.2,122.23,5.45,0,0,1.03,0,0,0,0,124.79,6.16,2.61,39.32,154.76,0,0,0,0,0,0.74,0.81,3.04,10.34,0,0,32.01,0,0,75.34,0,0
 48-58,0,0,547.39,1.01,0,106.78,0,920.4,306.85,3.77,0.38,1.37,2.66,0,0,0.66,0,518.65,5.72,4.21,69.22,150.7,0,0,0,0,0,0,0,0,0,0,0,15.29,0,1.02,64.66,3.68,0
 60-70,0,0,405.17,0.6,0,68.25,1.86,747.17,576.49,2.06,0,0,0,0,0,0.79,2.74,2445.27,3.61,10.53,71.96,92.15,0,0,0.78,0,0.71,2.49,0,0,0,1.42,0,6.11,0,17.47,81.38,12.4,0
 72-82,0.6,0.51,333.39,9.35,0,256.81,0,650.75,1139.8,22.47,4.93,0,0,0,1.22,0,0,5838.02,1.9,27.55,142.89,209.85,2.3,1.79,3.6,0,2.81,7.98,0,0,0,0,0,11.52,7.32,63.2,86.93,87.92,12.45
 84-94,0,2.45,656.62,0,0,269.13,0.56,1062.09,869.69,25.79,0,2.9,3.98,3.16,0,0,2.19,5963.8,6.73,23.57,144,102.89,0.62,0.71,3.61,0,0,8.9,0,0,0.94,0,0,2.99,2.13,76.35,69.73,68.54,5.35
 96-106,0,5.91,559.04,0,0.98,281.97,2.61,1037.57,1316.97,45.47,3.98,2.25,4.04,3.36,0,3.32,8.14,9478.69,23.3,23.34,100.43,396.25,0,0,9.11,0,15.57,18.74,0,0,5.15,0,0,5.87,1.55,64.22,81.39,71.02,0
108-118,1.15,5.76,409.49,5.31,1.51,196.95,0,946.83,795.27,13.28,2.65,0,2.96,3.96,0.49,0,7.1,11733.21,5.55,18.78,69.06,426.33,0.85,2.77,4.88,0,9.88,9.79,0,0,0.84,0,0,7.61,0.89,29.15,110.86,89.25,7.28
120,0,0,284.82,11.13,5.97,117.16,3.61,502.89,488.4,11.64,5.52,0,0,2.99,1.11,15.86,24.46,7321.69,3.4,0,75.03,194.22,2.33,11.55,11.89,0,4.48,3.2,0,0,1.2,0,0,15,2.31,12.77,86.94,61.79,0
