stage,blastomeres,fast_muscle,iridophores,muscle,neural,paraxial_mesoderm,periderm
  5-6,9.43,0,0,0,0,0,0
  7-9,0,0,0,0,6.2,0,0
 10-12,0,0,0,0,0,17.63,0
 72-82,0,0,0,0.85,2.13,0,0
 84-94,0,0,0,0,0,0,0.61
120,0,1.95,7.23,0,0,0,0
