stage,epidermis,eye,fast_muscle,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,8.69,0,0,0,0
 36-46,0,0,0,1.01,0,0,0,0,0,0,0,0,2.13,0,0
 48-58,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.89,2.19,0,0,0,0,1.38,0,0,0,0,0,0
 72-82,1.32,0,1.52,1.5,0,0,0,0,1.95,0,0,0.56,0,1.56,0
 84-94,0,0,0,5.07,0,0,0,0,1.88,0,0,0,0,0,0
 96-106,1.95,0,0.67,5.89,2.04,0.78,0,0,0,2.49,0,6.22,0,2.68,0
108-118,1.23,1.54,0.86,8.62,0,0.89,0,3.55,0,0,0,1,0,0,1.46
120,0,10.7,2.24,28.91,0,0,1.31,0,1.36,0,0,11.03,1.58,9.03,2.76
