stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,21.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.06,7,0,0,9.14,0,0,0,0,0,0,0,0,0,18.04,0,0,6.71,0,0,0,0,0,0
 10-12,0,0,0,5.53,3.33,0,0,0,0,0,0,0,0,0,15.8,0,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.1,0,2.16,0,0,0,0,0,0.87,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,3.45,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,14.77,0,0,0,6.45,0,0,0,0,0,1.34,0.85,0,0.85
 48-58,0,0,0,0,7.17,0,1.06,0,0,0,1.07,2.59,0.37,0,27.35,0,0,0,0.55,0,0,1.19,0,0
 60-70,0,0,0,0,199.61,0,0,7.61,1.64,0.65,0,4.82,0,0.81,104.39,0,0,0,0.81,0,0.58,7.49,0,0
 72-82,0,0,0,0,477.24,0,0,8.51,0.56,0,0.72,4.02,0,0,153,0,0,0,0,0,0.86,0,0.67,0
 84-94,0,0,3.62,0,217.55,0,0.87,21.51,0,0,0,14.41,0,0,94.86,0,0.55,0,4.09,0,0,2.75,0,0
 96-106,0,0,0,0,211.42,0,0,34.72,0,0,0,5.42,0,0,99.67,3.53,0,0,3.62,0,0,0,0,0
108-118,0,0,0.63,0,179.04,1.12,0,17,0.5,0,0,1.78,0,0,57.45,0,0,0,0.96,0,0,2.88,0.6,0.99
120,0,0,2.9,0,186,0,0,25.9,0,0,0,0,0,0,182.98,0,0,0,1.95,0,0,0,0,0
