stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,neural,olfactory,periderm,slow_muscle,spinal_cord,vasculature
  5-6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0
 10-12,0,12.12,0,0,0,0,0,0,0,0,0,0,0,0,17.31,0,6.67,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,5.23,0,0,0
 24-34,0,0,0,0.89,0,0,0,0,0,2.08,0,0.78,0,0,3.7,0,47.01,0,0,0
 36-46,0,0,3.07,1.7,0,0,0,0,0,0,0,0,0,0,3.24,0,102,0,1.89,0
 48-58,0,0,4.96,0,0,0,0,0.41,0,0.49,0,0,1.11,0,4.74,0,65.34,0,0.49,0
 60-70,0,0,4.42,0.59,1.21,0,0,0,0,0,0,0,0,0,2.91,0,94.56,0,0,0
 72-82,0,0,0,1.02,2.73,0,0,0,0,0.5,0,0.96,0,0,10.13,0,39.79,0,0,0
 84-94,0,0,1.54,0,3.86,0,0,0,0,1.16,0,0,2.06,0,11.92,0,174.13,0,0,0
 96-106,0,0,9.19,0,3.25,0,0,1.57,0.65,0.59,0,2.78,1.49,0,10.04,0,119.08,0,0,0.78
108-118,0,0,6.16,0,1.53,1.19,0.45,0,0,5.58,0.63,3.14,1.43,1.13,3.99,0,85.85,0,2.76,0
120,0,0,6.1,0,1.05,0,1.33,0,0,4.68,0,0,0,2.08,8.16,1.61,98.63,1.63,0,4.54
