stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,184.31,3319.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3,0,0,0,0,0
  5-6,62.6,650.12,0,0,0,0,0,0,0,0,0,0,0,0,1760.44,0,10.37,8.22,0,0,0,0,0
  7-9,7.63,0,0,0,0,0,0,0,3.27,0,0,0,0,0,147.72,0,42.05,0,1434.12,0,0,0,0
 10-12,0,16.97,0,0,9.36,0,0,0,0,0,0,0,0,0,36.44,0,33.92,0,516.09,0,0,0,0
 14-21,0,0,3.21,0.82,0,0,0,0,0,0,0,0,2.92,0,32.43,25.96,0,0,163.82,9.83,11.66,0,0
 24-34,0,0,0,0,0,0,0.99,0,0,0,0,0,2.51,0,1.73,0,0,0,10.32,0,0.74,1.1,0
 36-46,0,0,0,0,0.6,0.77,0,0,0,0,0,0,0,0,0,0,0,0,13.07,0,0,16.16,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0.42
 60-70,0,0,0,0,1.52,0,0,0,0,0,0,0,1.38,0,1.62,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.31,0,0,0,0,6.55,0,0.68,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,0,0,0,0,0.57,0,0,3.16,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,7.82,0,0,0,0,0,0,0,0,2.27,1.08,0,0,0,0,2.44,0,0,0,0
108-118,0,0,2.94,0.62,0,0,0,0,0,0,1.15,0.58,3.91,1.57,4.22,0,0,0,1.42,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,1.56
