stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0
  5-6,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,3.58,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,0.84,0,0,0,0,0,0,5.82,0,0.74,0,8.81,0,0,0
 36-46,0,0,0,1.49,0,0,3.65,0,0,0,0,0,0,0,0,5.06,0,0,0
 48-58,0,0,0,0,0,0,7.96,0,0,0,0,7.15,0,0,0,6.65,0,1.06,0
 60-70,0,0,0,1.7,0,0,18.03,0,0,0,0,1.4,0,0,0,2.85,0,0,0
 72-82,0,0,0,0,0,0,16.39,5.22,0,1.39,0,0.63,0,0,0,4.15,0,0,0
 84-94,0,0,0,0,0,0,23.75,0,0,0,0,0.98,0,0,0,0.61,0,0,0
 96-106,0,0,0,12.43,0,0,43.17,0,4.53,0,0,2.6,0,1.02,0,1.78,0,0,0
108-118,0,0.49,1.98,1.8,0,0.51,41.3,0,5.7,0,0.41,3.76,0,0.94,0,2.02,0,0,0.86
120,0,0,0,0,0,0,72.54,0,0,0,0,0,0,0,0,0,0,0,2.15
